date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,14.94,14.99,14.74,128342.27,-0.06,-0.41,14.532,14.655,14.892,173015.07,142746.26,143402.72,14.77
2019-08-07,14.35,14.95,14.35,333781.66,0.63,4.44,14.486,14.689,14.89,171747.49,142287.56,144515.0,14.83
2019-08-06,14.27,14.5,14.03,149821.19,-0.2,-1.39,14.47,14.734,14.874,129450.86,123482.25,133227.45,14.2
2019-08-05,14.35,14.65,14.27,146326.61,-0.06,-0.41,14.636,14.838,14.899,129527.78,119942.57,130697.87,14.4
2019-08-02,14.32,14.54,14.3,106803.62,-0.08,-0.55,14.704,14.932,14.918,113938.84,124894.8,134375.11,14.46
2019-08-01,14.61,14.64,14.5,122004.35,-0.21,-1.42,14.778,15.041,14.972,112477.44,150345.01,134182.83,14.54
2019-07-31,14.84,14.87,14.61,122298.53,-0.28,-1.86,14.892,15.077,15.021,112827.64,149147.13,136906.46,14.75
2019-07-30,14.85,15.06,14.81,150205.78,0.29,1.97,14.998,15.098,15.057,117513.64,144355.19,141012.74,15.03
2019-07-29,14.9,14.95,14.72,68381.92,-0.09,-0.61,15.04,15.103,15.084,110357.36,140087.71,144818.45,14.74
2019-07-26,14.88,14.89,14.7,99496.62,-0.08,-0.54,15.16,15.13,15.143,135850.77,146377.85,156060.8,14.83
2019-07-25,15.27,15.27,15.01,123755.36,-0.17,-1.11,15.304,15.128,15.188,188212.58,144059.18,161833.9,15.11
2019-07-24,15.25,15.37,15.17,145728.52,0.04,0.26,15.262,15.091,15.216,185466.61,146742.44,165006.46,15.28
2019-07-23,15.27,15.37,15.13,114424.39,-0.1,-0.65,15.198,15.014,15.234,171196.74,142972.65,171078.39,15.24
2019-07-22,15.43,15.62,15.24,195848.95,-0.21,-1.35,15.166,14.96,15.277,169818.07,141453.17,190585.11,15.34
2019-07-19,15.18,15.69,15.16,361305.69,0.65,4.36,15.1,14.904,15.299,156904.94,143855.41,194598.55,15.55
2019-07-18,15.05,15.2,14.89,110025.51,-0.06,-0.4,14.952,14.902,15.299,99905.78,118020.66,195143.86,14.9
2019-07-17,15.05,15.18,14.95,74379.18,-0.12,-0.8,14.92,14.964,15.33,108018.26,124665.79,204793.16,14.96
