date,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
2019-08-08,112.94,116.58,112.5,18862.2,4.34,3.89,115.076,117.392,118.558,24019.07,20845.91,20809.19,115.94
2019-08-07,114.6,115.85,111.07,20535.21,-3.5,-3.04,115.302,117.735,118.833,23330.72,20806.88,20917.17,111.6
2019-08-06,114.0,115.48,110.0,25344.72,1.16,1.02,116.8,118.338,119.378,22708.69,21400.6,21097.7,115.1
2019-08-05,116.92,119.78,113.94,23626.64,-4.86,-4.09,118.092,118.529,119.653,21403.22,21402.65,21151.14,113.94
2019-08-02,116.0,119.6,114.14,31726.6,1.73,1.48,119.466,119.045,120.001,21090.52,20617.31,21001.27,118.8
2019-08-01,118.5,119.4,116.0,15420.41,-2.02,-1.7,119.708,119.13,120.211,17672.75,18933.72,20661.87,117.07
2019-07-31,120.86,122.09,118.48,17425.09,-2.47,-2.03,120.168,119.363,120.371,18283.04,19147.41,21174.62,119.09
2019-07-30,120.98,121.8,118.8,18817.35,0.75,0.62,119.876,119.411,120.541,20092.51,19157.16,22104.63,121.56
2019-07-29,120.56,121.77,118.8,22063.15,0.8,0.67,118.966,119.295,120.632,21402.09,20039.06,22824.35,120.81
2019-07-26,118.5,120.66,118.08,14637.73,0.64,0.54,118.624,119.314,120.75,20144.1,20195.89,23793.89,120.01
2019-07-25,118.0,120.04,115.58,18471.86,1.74,1.48,118.552,119.723,120.675,20194.69,20772.46,24732.7,119.37
2019-07-24,118.3,119.84,117.1,26472.45,0.62,0.53,118.558,119.931,120.552,20011.77,21027.46,26077.78,117.63
2019-07-23,119.0,119.0,114.13,25365.26,-2.09,-1.75,118.946,120.417,120.286,18221.8,20794.8,26379.39,117.01
2019-07-22,119.98,120.88,118.0,15773.18,-0.55,-0.46,119.624,120.776,120.083,18676.03,20899.63,26773.37,119.1
2019-07-19,120.0,121.21,118.1,14890.68,0.25,0.21,120.004,120.957,119.747,20247.68,21385.22,27779.97,119.65
2019-07-18,120.33,120.88,119.0,17557.3,-0.17,-0.14,120.894,121.292,119.352,21350.24,22390.03,29124.95,119.4
2019-07-17,120.48,121.0,119.26,17522.59,-0.83,-0.69,121.304,121.378,118.982,22043.14,23201.84,30699.49,119.57
2019-07-16,121.0,122.0,119.27,27636.38,-0.6,-0.5,121.888,121.67,118.311,23367.8,25052.11,32048.53,120.4
2019-07-15,122.59,123.01,118.5,23631.46,-3.1,-2.5,121.928,121.969,117.424,23123.24,25609.64,31985.47,121.0
2019-07-12,122.3,124.8,121.6,20403.45,2.65,2.18,121.91,122.185,116.565,22522.76,27391.89,32236.21,124.1
2019-07-11,124.12,124.48,121.18,21021.84,-1.04,-0.85,121.69,121.626,115.61,23429.83,28692.94,32731.12,121.45
2019-07-10,122.3,124.58,120.5,24145.85,1.89,1.57,121.452,121.173,114.861,24360.53,31128.09,32714.06,122.49
2019-07-09,121.16,123.3,118.95,26413.58,-0.31,-0.26,121.452,120.154,114.097,26736.43,31963.99,33435.39,120.6
2019-07-08,123.13,123.52,120.01,20629.09,-2.09,-1.7,122.01,119.39,113.501,28096.05,32647.1,34595.84,120.91
2019-07-05,121.3,124.46,120.5,24938.78,2.74,2.28,122.46,118.537,112.572,32261.01,34174.72,35199.7,123.0
2019-07-04,121.1,121.5,117.66,25675.33,-2.23,-1.82,121.562,117.412,111.461,33956.06,35859.87,34996.68,120.26
2019-07-03,122.69,124.2,120.05,36025.35,-0.9,-0.73,120.894,116.585,110.548,37895.66,38197.15,35184.41,122.49
2019-07-02,123.0,125.5,121.8,33211.71,0.23,0.19,118.856,114.951,109.511,37191.55,39044.95,34847.92,123.39
2019-07-01,120.66,124.0,120.66,41453.9,4.65,3.92,116.77,112.879,108.641,37198.15,38361.3,34069.73,123.16
2019-06-28,116.77,121.11,115.52,33413.99,1.59,1.36,114.614,110.945,107.821,36088.43,37080.54,33114.98,118.51
2019-06-27,112.96,118.38,112.95,45373.34,4.62,4.11,113.262,109.594,107.269,37763.69,36769.3,32639.46,116.92
2019-06-26,111.7,114.2,110.67,32504.8,-0.66,-0.58,112.276,108.549,106.819,38498.64,34300.02,31462.79,112.3
2019-06-25,112.39,113.96,110.03,33244.7,0.58,0.52,111.046,108.039,106.615,40898.36,34906.79,31295.43,112.96
2019-06-24,112.34,115.0,110.37,35905.3,0.63,0.56,108.988,107.612,106.38,39524.45,36544.58,30733.8,112.38
2019-06-21,110.0,112.3,109.0,41790.29,1.26,1.14,107.276,106.606,106.164,38072.65,36224.68,30229.96,111.75
2019-06-20,105.88,112.95,105.2,49048.09,5.84,5.5,105.926,105.51,105.924,35774.92,34133.49,29732.22,111.99
2019-06-19,105.5,107.96,103.4,44503.41,3.48,3.39,104.822,104.511,105.974,30101.41,32171.68,28959.33,106.15
2019-06-18,103.46,104.79,101.57,26375.14,-1.15,-1.11,105.032,104.071,106.28,28915.21,30650.88,28714.74,102.67
2019-06-17,104.0,106.22,102.31,28646.3,-1.18,-1.12,106.236,104.402,106.765,33564.71,29778.17,29196.62,103.82
2019-06-14,105.68,107.98,103.63,30301.66,-1.47,-1.38,105.936,104.697,107.414,34376.71,29149.41,29300.16,105.0
2019-06-13,108.07,108.18,105.0,20680.53,-0.73,-0.68,105.094,104.944,108.233,32492.06,28509.61,29923.41,106.47
2019-06-12,108.6,110.5,105.5,38572.44,-1.49,-1.37,104.2,105.088,108.772,34241.95,28625.57,31024.01,107.2
2019-06-11,103.21,109.93,103.18,49622.61,6.37,6.23,103.11,105.191,108.867,32386.55,27684.08,30721.37,108.69
2019-06-10,101.27,104.88,97.0,32706.31,1.53,1.52,102.568,105.148,108.827,25991.63,24923.02,30428.78,102.32
2019-06-06,102.2,102.75,100.17,20878.43,-1.21,-1.19,103.458,105.721,109.121,23922.12,24235.25,31290.62,100.79
2019-06-05,103.38,103.5,101.16,29429.97,0.25,0.25,104.794,106.337,109.276,24527.15,25330.95,33126.97,102.0
2019-06-04,106.27,106.5,100.55,29295.43,-4.23,-3.99,105.976,107.437,109.876,23009.18,25746.98,33679.7,101.75
2019-06-03,106.99,107.99,104.69,17648.0,-0.79,-0.74,107.272,108.489,110.34,22981.61,26778.6,33631.97,105.98
2019-05-31,107.95,108.37,106.0,22358.76,-0.7,-0.65,107.728,109.128,110.595,23854.4,28615.07,34413.07,106.77
2019-05-30,108.0,109.5,106.0,23903.59,-0.44,-0.41,107.984,110.131,111.134,24548.38,29450.91,34763.2,107.47
2019-05-29,107.9,110.28,107.0,21840.13,-0.32,-0.3,107.88,111.521,111.64,26134.74,31337.21,35982.67,107.91
2019-05-28,107.48,110.39,107.0,29157.58,-0.03,-0.03,108.898,112.455,112.034,28484.79,33422.46,36878.01,108.23
2019-05-27,108.42,108.98,106.0,22011.95,0.21,0.19,109.706,112.542,111.992,30575.58,33758.66,36229.75,108.26
2019-05-24,106.99,110.1,105.88,25828.67,1.1,1.03,110.528,112.505,112.067,33375.74,35934.55,35800.97,108.05
2019-05-23,111.24,111.3,106.49,31835.39,-6.05,-5.35,112.278,112.52,112.206,34353.43,38345.99,35161.6,106.95
2019-05-22,112.27,113.49,108.9,33590.34,0.73,0.65,115.162,112.215,112.348,36539.67,40923.0,34298.57,113.0
2019-05-21,112.37,114.0,109.12,39611.54,-0.1,-0.09,116.012,112.315,112.336,38360.13,41612.42,33554.63,112.27
2019-05-20,115.9,116.91,108.0,36012.77,-4.43,-3.79,115.378,112.19,112.271,36941.74,40485.34,33358.71,112.37
2019-05-17,119.61,122.8,112.0,30717.11,-4.57,-3.77,114.482,112.062,111.963,38493.35,40211.06,33007.07,116.8
