,open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close
0,16.65,16.74,16.63,147592.84,0.01,0.06,16.67,16.67,16.67,147592.84,147592.84,147592.84,16.67
1,16.63,16.69,16.54,112388.67,0,0,16.67,16.67,16.67,129990.76,129990.76,129990.76,16.67
2,16.68,16.77,16.59,113930.34,0.05,0.3,16.687,16.687,16.687,124637.28,124637.28,124637.28,16.72
3,16.76,16.84,16.7,139852.62,0.06,0.36,16.71,16.71,16.71,128441.12,128441.12,128441.12,16.78
4,16.88,16.9,16.78,199928.72,0.07,0.42,16.738,16.738,16.738,142738.64,142738.64,142738.64,16.85
5,16.87,16.88,16.74,129872.35,-0.1,-0.59,16.754,16.74,16.74,139194.54,140594.26,140594.26,16.75
6,16.82,16.93,16.75,256880.31,0.09,0.54,16.788,16.754,16.754,168092.87,157206.55,157206.55,16.84
7,16.88,16.91,16.76,163278.31,-0.06,-0.36,16.8,16.758,16.758,177962.46,157965.52,157965.52,16.78
8,16.78,16.82,16.59,138636.42,-0.14,-0.83,16.772,16.744,16.744,177719.22,155817.84,155817.84,16.64
9,16.62,16.98,16.62,299499.84,0.27,1.62,16.784,16.761,16.761,197633.45,170186.04,170186.04,16.91
10,16.88,17.08,16.81,175091.19,-0.03,-0.18,16.81,16.782,16.772,206677.21,172935.88,170631.96,16.88
11,16.88,16.9,16.73,170322.77,-0.13,-0.77,16.792,16.79,16.77,189365.71,178729.29,170606.2,16.75
12,16.78,16.83,16.64,150111.48,-0.06,-0.36,16.774,16.787,16.764,186732.34,182347.4,169029.68,16.69
13,16.67,16.75,16.66,115949.71,0.02,0.12,16.788,16.78,16.76,182195,179957.11,165238.26,16.71
14,16.69,16.72,16.53,137322.73,-0.12,-0.72,16.724,16.754,16.749,149759.58,173696.51,163377.22,16.59
15,16.58,16.67,16.53,120979.43,0,0,16.666,16.738,16.739,138937.22,172807.22,160727.36,16.59
16,16.58,16.62,16.52,162269.84,-0.03,-0.18,16.628,16.71,16.728,137326.64,163346.17,160818.09,16.56
17,16.62,16.62,16.39,189966.31,-0.15,-0.91,16.572,16.673,16.711,145297.6,166014.97,162437.44,16.41
18,16.42,16.43,16.32,124294.67,-0.06,-0.37,16.5,16.644,16.692,146966.6,164580.8,160429.92,16.35
19,16.37,16.53,16.35,157037.52,0.06,0.37,16.464,16.594,16.678,150909.55,150334.57,160260.3,16.41
20,16.38,16.45,16.37,93198.42,0.02,0.12,16.432,16.549,16.666,145353.35,142145.29,157540.58,16.43
21,16.4,16.44,16.35,101096.47,-0.04,-0.24,16.398,16.513,16.652,133118.68,135222.66,156975.97,16.39
22,16.37,16.4,16.22,173660.25,-0.17,-1.04,16.36,16.466,16.627,129857.47,137577.54,159962.47,16.22
23,16.23,16.28,16.17,163963.75,0.01,0.06,16.336,16.418,16.599,137791.28,142378.94,161168.02,16.23
24,16.23,16.34,16.16,179501.47,0.11,0.68,16.322,16.393,16.574,142284.07,146596.81,160146.66,16.34
25,16.34,16.35,16.24,169889.8,-0.08,-0.49,16.288,16.36,16.549,157622.35,151487.85,162147.53,16.26
26,16.24,16.28,16.17,189003.23,-0.02,-0.12,16.258,16.328,16.519,175203.7,154161.19,158753.68,16.24
27,16.27,16.35,16.25,190365.45,0.05,0.31,16.272,16.316,16.495,178544.74,154201.1,160108.04,16.29
28,16.3,16.32,16.14,215603.55,-0.09,-0.55,16.266,16.301,16.473,188872.7,163331.99,163956.39,16.2
29,16.24,16.25,16.13,150178.06,-0.06,-0.37,16.226,16.274,16.434,183008.02,162646.05,156490.31,16.14
30,16.15,16.16,15.98,311246.16,-0.14,-0.87,16.174,16.231,16.39,211279.29,184450.82,163298.05,16
31,15.98,15.98,15.7,438114.28,-0.22,-1.38,16.082,16.17,16.342,261101.5,218152.6,176687.63,15.78
32,15.8,15.92,15.79,222256.59,0.1,0.63,16,16.136,16.301,267479.73,223012.23,180294.88,15.88
33,15.85,16,15.83,199020.06,0.08,0.5,15.952,16.109,16.264,264163.03,226517.87,184448.4,15.96
34,15.97,16.13,15.9,189973.69,0.08,0.5,15.932,16.079,16.236,272122.16,227565.09,187080.95,16.04
35,16.11,16.13,15.97,132129.69,-0.03,-0.19,15.934,16.054,16.207,236298.86,223789.08,187638.46,16.01
36,16.01,16.11,15.8,234467.92,-0.14,-0.87,15.952,16.017,16.173,195569.59,228335.55,191248.37,15.87
37,15.88,15.9,15.72,236451.44,-0.06,-0.38,15.938,15.969,16.143,198408.56,232944.14,193572.62,15.81
38,15.78,16.05,15.77,241871.2,0.2,1.26,15.948,15.95,16.126,206978.79,235570.91,199451.45,16.01
39,16.05,16.2,15.89,310362.72,0.15,0.94,15.972,15.952,16.113,231056.59,251589.38,207117.71,16.16
40,16.09,16.18,16.03,223354.42,-0.06,-0.37,15.99,15.962,16.097,249301.54,242800.2,213625.51,16.1
41,16.06,16.16,16.02,201269.48,0,0,16.036,15.994,16.082,242661.85,219115.72,218634.16,16.1
42,16.12,16.12,15.94,161540.23,-0.13,-0.81,16.068,16.003,16.07,227679.61,213044.09,218028.16,15.97
43,15.97,15.99,15.81,186113.75,-0.08,-0.5,16.044,15.996,16.053,216528.12,211753.45,219135.66,15.89
44,15.88,15.96,15.75,222105.41,0,0,15.99,15.981,16.03,198876.66,214966.63,221265.86,15.89
45,15.88,15.89,15.73,234266.5,-0.14,-0.88,15.92,15.955,16.005,201059.07,225180.31,224484.69,15.75
46,15.76,15.78,15.42,401565.53,-0.24,-1.52,15.802,15.919,15.968,241118.28,241890.07,235112.81,15.51
47,15.53,15.6,15.3,367394.47,0.05,0.32,15.72,15.894,15.932,282289.13,254984.37,243964.26,15.56
48,15.5,15.52,15.3,228899.8,-0.26,-1.67,15.602,15.823,15.887,290846.34,253687.23,244629.07,15.3
49,15.25,15.27,15.11,244554.06,-0.19,-1.24,15.446,15.718,15.835,295336.07,247106.37,249347.87,15.11
50,15.12,15.14,14.9,410614.06,-0.2,-1.32,15.278,15.599,15.781,330605.58,265832.33,254316.27,14.91
51,14.92,15.07,14.85,226883.58,0.14,0.94,15.186,15.494,15.744,295669.19,268393.74,243754.73,15.05
52,15.05,15.11,14.91,176278.03,-0.05,-0.33,15.074,15.397,15.7,257445.91,269867.52,241455.8,15
