date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,7.08,7.15,7.1,7.06,100404.21,-0.02,-0.28,6.996,7.022,7.102,145424.0,161864.87,246343.17
2019-07-15,6.93,7.18,7.12,6.89,255871.2,0.17,2.45,6.954,7.036,7.088,160086.62,172639.48,249825.07
2019-07-12,6.91,6.99,6.95,6.87,120586.11,0.04,0.58,6.908,7.051,7.076,161077.25,182186.78,245237.87
2019-07-11,6.86,7.01,6.91,6.86,136712.62,0.01,0.14,6.952,7.067,7.073,161991.86,186064.99,253923.18
2019-07-10,6.88,6.98,6.9,6.87,113545.87,0.01,0.14,7.0,7.091,7.083,166150.78,194852.75,259948.5
2019-07-09,6.86,6.93,6.89,6.76,173717.3,0.0,0.0,7.048,7.11,7.094,178305.74,201034.69,268262.28
2019-07-08,7.12,7.18,6.89,6.87,260824.33,-0.28,-3.9,7.118,7.145,7.105,185192.35,216356.77,282621.58
2019-07-05,7.12,7.21,7.17,7.09,125159.17,0.02,0.28,7.194,7.183,7.1,203296.3,217548.05,293639.05
2019-07-04,7.17,7.26,7.15,7.1,157507.23,0.01,0.14,7.182,7.194,7.098,210138.13,258828.62,300189.87
2019-07-03,7.2,7.24,7.14,7.12,174320.67,-0.1,-1.38,7.182,7.204,7.098,223554.71,313909.83,307581.89
2019-07-02,7.25,7.3,7.24,7.22,208150.33,-0.03,-0.41,7.172,7.182,7.102,223763.64,330821.48,313080.64
2019-07-01,7.27,7.33,7.27,7.19,351344.12,0.16,2.25,7.172,7.14,7.099,247521.19,327010.66,319065.19
2019-06-28,7.15,7.18,7.11,7.06,159368.28,-0.04,-0.56,7.172,7.1,7.094,231799.8,308288.96,318407.43
2019-06-27,7.1,7.27,7.15,7.1,224590.17,0.06,0.85,7.206,7.078,7.101,307519.12,321781.37,332224.39
2019-06-26,7.09,7.18,7.09,7.02,175365.31,-0.15,-2.07,7.226,7.075,7.115,404264.94,325044.25,346040.68
2019-06-25,7.23,7.3,7.24,7.08,326938.06,-0.03,-0.41,7.192,7.077,7.142,437879.31,335489.86,370049.29
2019-06-24,7.32,7.36,7.27,7.23,272737.19,-0.01,-0.14,7.108,7.065,7.164,406500.12,348886.4,403136.25
2019-06-21,7.25,7.4,7.28,7.22,537964.88,0.03,0.41,7.028,7.017,7.184,384778.12,369730.04,432111.9
2019-06-20,6.91,7.42,7.25,6.87,708319.25,0.33,4.77,6.95,7.001,7.188,336043.62,341551.12,450157.43
2019-06-19,7.2,7.22,6.92,6.92,343437.19,0.1,1.47,6.924,6.991,7.183,245823.56,301253.96,434327.83
2019-06-18,6.88,6.91,6.82,6.75,170042.11,-0.05,-0.73,6.962,7.021,7.198,233100.41,295339.81,450240.81
2019-06-17,6.92,6.97,6.87,6.84,164127.16,-0.02,-0.29,7.022,7.057,7.219,291272.67,311119.72,488683.99
2019-06-14,7.13,7.16,6.89,6.86,294292.38,-0.23,-3.23,7.006,7.087,7.209,354681.96,328525.91,497498.5
2019-06-13,7.13,7.24,7.12,7.06,257218.98,0.01,0.14,7.052,7.124,7.212,347058.62,342667.4,504824.32
2019-06-12,7.1,7.2,7.11,7.05,279821.44,-0.01,-0.14,7.058,7.155,7.19,356684.35,367037.11,504674.15
2019-06-11,6.8,7.16,7.12,6.77,460903.38,0.33,4.86,7.08,7.207,7.166,357579.21,404608.71,501670.79
2019-06-10,7.12,7.14,6.79,6.48,481173.62,-0.33,-4.63,7.092,7.263,7.14,330966.78,457386.11,487871.92
2019-06-06,7.16,7.26,7.12,7.1,256175.69,-0.03,-0.42,7.168,7.351,7.136,302369.85,494493.77,482788.08
2019-06-05,7.3,7.34,7.15,7.14,305347.62,-0.07,-0.97,7.196,7.375,7.103,338276.18,558763.73,482459.8
2019-06-04,7.18,7.26,7.22,7.08,284295.72,0.04,0.56,7.252,7.375,7.072,377389.87,567401.7,480125.3
2019-06-03,7.24,7.39,7.18,7.17,327841.25,0.01,0.14,7.334,7.375,7.041,451638.22,605141.81,482442.68
2019-05-31,7.3,7.36,7.17,7.16,338188.97,-0.09,-1.24,7.434,7.38,7.005,583805.44,666248.26,490819.97
2019-05-30,7.33,7.37,7.26,7.14,435707.34,-0.17,-2.29,7.534,7.331,6.996,686617.69,666471.09,490032.14
2019-05-29,7.54,7.57,7.43,7.36,500916.09,-0.2,-2.62,7.554,7.3,6.98,779251.28,666981.24,497542.87
2019-05-28,7.55,7.66,7.63,7.46,655537.44,-0.05,-0.65,7.498,7.225,6.98,757413.53,642311.19,490979.45
2019-05-27,7.59,7.86,7.68,7.36,988677.38,0.01,0.13,7.416,7.124,6.971,758645.41,598732.87,483371.27
2019-05-24,7.33,7.72,7.67,7.31,852250.19,0.31,4.21,7.326,7.017,6.982,748691.08,518357.72,448694.62
2019-05-23,7.11,7.65,7.36,7.1,898875.31,0.21,2.94,7.128,6.92,6.987,646324.49,471082.38,426944.94
2019-05-22,7.15,7.28,7.15,7.08,391727.34,-0.07,-0.97,7.046,6.831,7.008,554711.2,406155.87,400608.83
2019-05-21,7.07,7.31,7.22,7.02,661696.81,-0.01,-0.14,6.952,6.769,7.042,527208.84,392848.89,395510.18
2019-05-20,6.63,7.35,7.23,6.62,938905.75,0.55,8.23,6.832,6.707,7.069,438820.33,359743.54,376635.01
2019-05-17,6.89,6.95,6.68,6.55,340417.22,-0.27,-3.88,6.708,6.63,7.099,288024.36,315391.68,346984.77
2019-05-16,6.69,7.16,6.95,6.66,440808.88,0.27,4.04,6.712,6.66,7.158,295840.28,313593.19,356051.62
