date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
2019-07-16,3.87,101.78,26.35,108.05,21.41,100.15,31.24,64.85,147.25,33.4,35.58,5.95,8.78,3.66,6.09,3.69,5.58,7.18,9.91,4.98,7.1,3.57,4.68,86.2,11.63,9.13,23.5,6.62,8.81,11.35,3.8,10.13,11.09,11.56,7.89,5.3,20.93,5.1,5.96,8.59,30.13,3.09,17.33,37.96,3.82,9.17,10.33,5.61,6.49,6.69,20.7,54.21,5.8,9.2,86.95,8.59,3.58,11.12,8.85,4.08,8.76,3.33,4.13,18.14,12.04,9.82,5.63,18.17,10.01,28.78,12.66,5.9,9.16,11.6,19.07,20.06,43.7,4.27,23.1,8.46,7.84,16.99,12.26,14.69,10.36,8.26,6.82,18.11,,32.69,8.25,15.45,13.99,4.93,68.89,2.51,30.18,22.44,8.27,5.35,5.61,10.73,17.19,5.15,9.26,14.71,22.39,10.29,7.23,27.3,40.9,5.41,68.46,33.07,40.88,17.18,8.95,968.0,11.77,27.17,9.46,16.14,24.31,13.36,107.38,4.11,18.35,8.46,9.19,12.88,15.36,5.05,15.08,15.44,11.84,30.76,4.04,40.95,41.45,10.65,4.28,66.06,22.81,11.92,2.0,2.22,3.04,27.33,10.34,6.33,9.18,3.9,8.84,24.08,6.05,11.72,9.67,23.96,9.16,6.97,29.32,6.11,13.51,14.04,6.0,13.52,41.86,35.31,13.42,23.43,7.52,5.3,3.68,4.42,4.3,6.25,6.55,6.0,7.53,6.37,1.61,79.6,17.06,11.55,40.18,6.69,38.8,19.89,7.09,7.49,24.81,26.61,23.95,23.55,45.26,7.83,6.76,13.99,93.06,15.62,10.61,30.44,25.68,16.6,15.25,31.96,38.65,31.13,17.28,13.59,68.33,9.95,9.46,24.51,11.01,14.12,54.78,18.02,13.35,26.19,11.65,20.12,26.14,25.68,22.67,8.16,30.0,26.77,20.18,33.7,33.64,27.4,5.78,127.13,22.55,22.45,7.32,10.38,14.14,33.58,12.52,34.51,33.58,9.21,22.4,31.59,10.36,6.81,11.27,10.47,69.85,5.2,10.74,7.66,31.78,31.19,20.81,20.78,27.69,8.29,28.0,3.62,24.57,19.97,123.58,18.38,7.76,14.07,16.22,9.33,3.96,2.81,13.19,6.92,325.55,6.56,54.81,2.36,3.37,6.24,7.06,120.4,84.9,10.26,80.13,4.73,33.44,4.02,5.05,8.61,7.88,12.22,53.52,4.99,6.12,3.42,7.48,32.93,30.06,13.75
2019-07-15,3.86,98.6,26.3,112.0,21.4,101.93,31.57,64.93,145.74,33.97,35.92,5.93,8.78,3.64,6.13,3.7,5.56,7.18,10.0,4.95,7.12,3.55,4.74,87.82,11.69,9.18,23.33,6.64,8.7,11.25,3.8,10.0,11.07,11.63,7.9,5.3,21.12,5.09,5.93,8.69,30.68,3.08,17.71,38.02,3.84,9.17,10.4,5.6,6.45,6.7,20.88,54.89,5.8,9.21,88.08,8.84,3.59,11.15,8.84,4.07,8.83,3.31,4.07,18.23,11.77,9.79,5.61,18.29,10.06,27.53,12.76,5.88,9.16,11.86,18.9,20.12,44.91,4.22,22.94,8.48,7.88,16.94,12.32,14.65,10.28,8.06,6.81,18.19,,33.72,8.39,15.24,14.06,4.97,69.65,2.5,30.26,22.6,8.26,5.37,5.61,10.79,17.44,5.1,9.29,14.74,22.72,10.29,7.0,26.94,41.48,5.39,68.39,32.14,40.95,17.21,9.04,975.93,11.6,26.9,9.51,16.07,24.61,13.59,108.0,4.05,18.5,8.5,9.25,12.71,15.5,5.07,15.01,15.47,11.8,30.36,4.05,41.35,41.55,10.61,4.2,67.38,22.77,11.82,1.99,2.22,3.02,27.46,10.36,6.33,9.15,3.88,8.81,23.9,6.05,11.59,9.68,24.19,9.21,6.95,29.79,6.11,13.73,13.93,5.98,13.35,42.13,35.3,13.43,23.69,7.45,5.26,3.65,4.28,4.29,6.25,6.47,6.01,7.52,6.29,1.61,81.0,17.34,11.5,40.14,6.61,38.85,19.84,7.14,7.53,24.57,27.01,23.23,22.89,44.83,7.78,6.77,13.88,94.17,15.59,10.65,30.78,25.6,16.69,15.5,31.3,38.18,31.31,17.28,13.77,68.92,9.95,9.33,24.25,10.81,13.8,55.35,17.98,13.86,26.46,11.56,20.26,26.45,25.95,22.92,8.26,29.38,27.15,19.82,34.46,33.98,27.83,5.72,128.83,22.87,22.59,7.21,10.01,14.39,33.79,12.82,34.85,34.02,9.15,22.62,31.73,10.56,6.79,10.9,10.5,72.01,5.21,10.73,7.56,32.45,31.7,20.03,20.99,27.99,8.29,27.9,3.63,24.69,20.25,125.09,18.52,7.78,14.19,16.26,9.47,3.78,2.83,13.08,6.52,331.38,6.42,55.88,2.35,3.34,6.28,7.13,121.0,87.48,10.26,81.57,4.72,35.42,3.99,5.02,8.67,7.85,12.2,54.67,4.95,5.92,3.37,7.38,32.87,30.0,14.0
2019-07-12,3.85,91.82,26.13,108.3,21.13,102.21,32.39,63.5,139.99,34.03,35.12,5.93,8.75,3.58,5.92,3.72,5.49,7.17,10.05,4.8,6.95,3.52,4.71,87.71,11.25,8.97,23.56,6.67,8.57,11.26,3.8,9.88,10.93,11.43,7.88,5.27,20.77,5.06,5.85,8.81,30.67,3.06,17.63,37.67,3.8,9.18,10.17,5.62,6.43,6.55,20.46,54.76,5.8,9.25,88.75,8.78,3.6,11.25,8.86,4.06,8.79,3.27,4.03,18.07,11.52,9.69,5.62,18.18,9.76,27.84,12.77,5.85,9.16,11.5,19.03,19.73,43.82,4.18,22.33,8.48,7.85,16.67,12.37,15.24,10.11,8.02,6.86,18.21,,33.83,8.32,15.29,13.88,4.82,70.81,2.49,29.62,22.27,8.24,5.3,5.51,11.08,17.31,5.13,9.23,14.52,22.85,10.04,6.87,25.27,41.23,5.36,65.18,32.55,40.67,17.49,9.02,986.09,11.59,26.63,9.48,16.19,23.88,13.6,111.06,4.02,18.52,8.49,9.13,12.81,15.08,4.93,14.81,15.33,11.78,30.4,4.04,41.31,42.1,10.52,4.14,66.45,22.36,11.88,1.99,2.21,3.0,27.13,10.26,6.31,9.13,3.8,8.82,23.17,6.03,11.29,9.46,23.9,9.09,6.93,30.02,6.09,13.62,13.6,5.96,13.55,40.95,35.4,13.13,23.37,7.44,5.24,3.63,4.21,4.28,6.33,6.45,6.03,7.52,6.28,1.61,81.93,17.6,11.52,38.55,6.7,38.86,19.46,7.14,7.23,24.21,27.05,24.6,23.11,43.91,7.48,7.38,13.15,91.38,15.13,10.37,30.3,25.07,15.76,14.93,30.45,37.75,31.0,18.06,13.65,65.23,9.74,9.16,23.87,10.45,13.97,54.26,18.11,13.87,27.43,11.57,19.5,26.66,26.17,23.76,8.15,27.75,26.97,19.58,32.8,33.95,27.1,6.0,131.08,22.51,22.54,7.07,9.36,14.41,32.99,12.96,34.53,33.28,9.16,22.84,31.4,10.45,6.66,10.69,10.55,73.69,5.17,10.61,7.43,36.06,31.97,19.77,21.0,28.45,8.65,27.31,3.64,24.9,19.43,125.58,18.61,7.52,14.0,15.79,9.37,3.73,2.82,13.27,6.73,336.0,6.46,56.48,2.34,3.31,6.28,6.63,124.1,88.45,10.45,81.63,4.52,39.35,3.92,4.96,8.75,7.88,11.96,54.78,4.85,5.6,3.33,7.35,32.2,29.65,14.12
2019-07-11,3.86,93.0,26.04,110.73,21.07,102.02,32.78,63.57,142.5,34.17,34.48,5.86,8.68,3.55,5.95,3.71,5.48,7.04,9.9,4.75,6.91,3.58,4.69,86.12,11.22,8.95,23.3,6.67,8.41,11.18,3.77,9.92,10.84,11.34,7.88,5.27,20.71,5.01,5.78,8.89,29.2,3.01,17.48,36.21,3.78,9.05,10.18,5.57,6.42,6.53,20.41,53.12,5.75,9.02,87.98,8.68,3.59,11.4,8.79,4.06,8.8,3.17,4.11,18.06,11.58,9.61,5.58,17.79,9.84,27.09,12.79,5.83,9.1,11.8,19.03,20.29,45.7,4.16,20.98,8.31,7.87,16.64,12.37,15.07,10.04,7.98,7.21,18.25,,33.88,8.23,15.23,13.74,4.77,69.49,2.48,29.45,22.61,8.27,5.27,5.45,11.13,17.31,5.06,9.28,14.59,22.85,10.03,6.54,25.25,41.08,5.37,65.21,31.85,41.4,16.81,8.94,981.5,11.57,26.91,9.69,16.21,24.26,12.88,110.4,4.01,18.56,8.48,9.15,12.58,15.36,4.91,14.74,15.02,11.76,31.76,4.07,40.05,41.69,10.39,4.18,66.66,22.25,11.82,1.99,2.21,3.04,27.21,10.15,6.3,9.13,3.78,8.78,23.02,6.04,11.34,9.44,25.53,9.1,6.91,29.95,6.04,13.52,13.34,5.96,13.47,41.08,35.9,12.82,23.18,7.42,5.22,3.63,4.24,4.28,6.34,6.37,5.99,7.48,6.21,1.61,80.18,17.2,11.4,38.21,6.72,37.72,19.39,7.31,7.28,24.4,27.08,24.78,23.02,43.99,7.41,7.42,12.94,90.1,15.12,10.37,30.5,25.42,15.99,15.04,30.47,38.25,31.3,18.07,13.25,65.16,9.73,9.24,23.8,10.42,13.86,53.25,18.1,13.72,27.52,11.62,19.5,26.7,26.05,23.6,8.12,27.91,27.01,18.54,33.08,33.6,28.14,6.19,128.01,22.1,22.47,6.89,9.34,14.37,32.78,12.6,34.75,33.34,9.42,22.03,31.49,10.34,6.64,10.87,10.29,73.2,5.18,10.45,7.5,35.58,31.25,20.56,20.53,28.26,8.65,27.06,3.64,,19.51,123.5,18.38,7.46,13.85,15.64,9.44,3.65,2.82,13.53,6.76,331.68,6.49,56.0,2.33,3.28,6.23,6.7,121.45,86.0,10.25,80.71,4.46,39.41,3.86,4.95,9.06,7.81,11.84,54.39,4.82,5.46,3.26,7.23,32.06,29.21,13.54
2019-07-10,3.86,92.98,25.88,109.08,21.08,102.73,47.54,64.38,144.0,34.98,34.82,5.87,8.68,3.56,6.01,3.7,5.49,6.99,9.98,4.74,6.9,3.58,4.69,87.94,11.31,8.94,23.88,6.66,8.54,11.34,3.78,9.43,10.86,11.38,7.88,5.27,21.12,5.05,5.77,9.19,28.27,3.01,17.46,35.37,3.77,9.03,10.09,5.55,6.42,6.52,20.46,52.66,5.74,8.95,87.88,8.67,3.59,11.44,8.79,4.06,9.09,3.16,4.02,18.03,11.57,9.63,5.88,17.72,9.9,28.06,12.73,5.83,9.17,11.69,19.07,21.27,46.45,4.19,21.77,8.3,7.87,16.72,12.24,15.11,10.08,7.99,7.2,18.0,,33.16,8.21,15.28,13.69,4.72,70.1,2.49,29.2,22.3,8.4,5.27,5.45,11.16,17.31,5.01,9.28,14.6,22.77,9.99,6.55,25.23,40.82,5.28,65.53,32.07,38.9,16.67,8.97,982.52,11.55,26.82,9.27,16.28,24.36,13.32,111.38,4.01,18.76,8.52,9.14,12.47,15.16,4.89,14.51,15.1,11.75,31.57,4.02,41.13,41.44,10.4,4.24,67.41,22.43,11.92,1.98,2.2,3.02,27.32,10.21,6.29,9.1,3.79,8.98,23.22,6.01,11.39,9.44,25.69,9.1,6.92,29.97,6.05,13.41,13.23,5.92,13.46,40.75,35.12,12.48,23.2,7.39,5.2,3.64,4.19,4.28,6.35,6.35,5.98,7.64,6.25,1.62,81.4,17.34,11.35,38.17,6.81,36.65,19.28,7.05,7.31,23.42,27.29,24.93,22.97,44.0,7.47,7.43,12.92,89.78,15.16,10.28,30.55,24.83,16.33,15.27,29.74,38.42,31.65,18.16,12.98,64.65,9.82,9.4,24.1,10.52,13.97,53.9,17.99,13.75,27.18,11.77,19.88,27.18,26.08,23.46,8.04,28.21,26.92,18.44,33.07,33.62,28.62,6.11,129.05,22.05,22.63,6.91,9.49,14.44,33.0,12.71,34.4,33.42,9.49,22.27,31.92,10.39,6.7,10.78,9.85,72.52,5.17,10.98,7.36,35.71,31.66,20.52,21.74,26.84,8.86,27.0,3.65,24.72,19.29,126.43,18.08,7.5,13.78,15.73,9.29,3.68,2.83,13.55,6.83,334.97,6.56,56.29,2.3,3.27,6.24,6.83,122.49,85.1,10.28,82.09,4.44,39.25,3.86,4.96,8.72,7.82,11.88,53.9,4.81,5.45,3.28,7.2,32.44,29.17,13.56
2019-07-09,3.9,88.49,26.25,111.03,21.58,102.39,48.26,64.5,138.1,35.32,34.6,5.92,8.72,3.58,6.11,3.71,5.5,7.4,9.83,4.81,6.89,3.65,4.72,85.02,11.45,9.04,23.96,6.71,8.74,11.55,3.77,9.36,10.94,11.32,7.92,5.29,21.21,5.09,5.81,9.31,28.41,3.02,17.53,34.87,3.79,9.07,10.02,5.58,6.46,6.5,20.71,52.35,5.77,9.0,87.53,8.72,3.58,11.49,8.87,4.08,9.13,3.19,4.1,17.78,11.61,9.69,5.9,17.82,10.21,28.35,12.71,5.9,9.22,11.45,18.99,21.43,46.55,4.24,21.67,8.43,7.94,16.67,11.89,15.53,10.35,8.05,7.24,17.84,,33.27,8.17,15.0,13.7,4.76,69.74,2.5,29.2,22.79,8.67,5.31,5.54,11.22,17.43,5.02,9.27,14.75,22.9,10.05,6.89,25.46,41.8,5.31,65.9,31.35,39.99,16.63,9.07,976.06,11.85,26.94,9.52,16.31,24.33,13.29,111.89,4.03,18.4,8.55,9.15,12.52,15.29,4.88,14.7,15.4,11.84,32.01,4.04,41.05,41.73,10.72,4.22,66.48,22.54,12.09,1.99,2.23,3.09,26.24,10.24,6.31,9.17,3.76,8.94,22.99,6.1,11.67,9.42,26.23,9.15,6.93,30.24,6.07,13.89,13.42,5.96,13.48,41.43,35.29,12.67,23.23,7.49,5.26,3.68,4.09,4.3,6.42,6.42,5.98,7.68,6.28,1.63,80.39,17.01,11.37,38.25,6.85,36.78,19.1,7.58,7.45,23.2,27.95,24.62,22.82,44.16,7.61,7.51,13.08,92.2,15.22,10.46,31.0,24.22,17.2,15.79,30.18,38.55,30.83,18.3,13.31,64.8,9.92,9.35,24.71,10.67,14.48,54.89,18.3,13.88,27.35,11.77,19.6,27.17,26.41,23.89,8.09,27.67,26.67,18.61,32.41,33.68,28.8,6.14,129.35,21.85,22.6,7.01,9.25,14.16,33.38,12.14,35.03,33.44,9.77,23.23,31.05,10.42,6.82,10.68,12.1,73.0,5.24,11.09,7.7,35.62,31.65,20.94,21.75,26.04,8.66,26.89,3.67,24.95,18.9,126.0,18.2,7.61,13.66,15.69,9.06,3.57,2.85,13.5,6.88,330.15,6.84,55.99,2.33,3.29,6.25,7.03,120.6,83.51,10.32,82.26,4.53,39.23,3.9,5.01,9.03,7.89,11.93,53.84,4.85,5.54,3.25,7.21,32.18,29.15,13.59
2019-07-08,3.89,87.7,25.95,109.94,21.34,102.1,47.37,64.63,138.75,35.12,35.08,5.93,8.8,3.61,6.09,3.71,5.52,7.46,9.88,4.87,6.89,3.7,4.73,85.0,11.25,9.02,24.2,6.75,8.73,11.64,3.79,9.28,10.96,11.11,7.96,5.29,21.21,5.12,5.89,8.83,28.3,3.02,17.62,34.93,3.78,9.14,9.85,5.59,6.46,6.48,20.69,52.69,6.12,9.02,88.59,8.47,3.6,11.48,8.88,4.11,9.14,3.17,4.1,17.58,11.55,9.75,5.92,17.79,10.67,31.12,12.68,6.01,9.29,10.94,19.07,21.36,46.2,4.23,21.85,8.45,7.99,16.5,11.94,15.49,10.2,8.09,7.23,18.11,,32.98,8.14,15.28,13.58,4.7,69.75,2.49,28.94,22.6,8.42,5.33,5.53,11.32,17.46,5.05,9.22,14.93,23.0,10.04,6.9,25.3,41.77,5.34,65.8,31.53,40.66,16.54,9.02,984.86,11.8,26.85,9.74,16.4,24.1,13.59,112.05,4.04,18.61,8.58,9.15,12.48,15.16,4.84,14.78,15.18,11.75,31.9,4.05,41.0,41.87,10.76,4.24,66.5,22.7,12.13,2.0,2.21,3.07,26.09,10.32,6.29,9.31,3.81,8.97,22.95,6.13,11.61,9.36,26.19,9.16,6.92,30.16,6.06,13.41,13.84,6.01,13.44,40.88,35.56,12.7,23.17,7.5,5.33,3.7,4.07,4.37,6.44,6.55,6.0,7.69,6.24,1.62,79.79,16.65,11.36,37.34,6.8,36.74,18.8,7.44,7.13,22.68,27.99,24.73,23.11,43.84,7.84,7.46,13.0,91.97,15.22,10.63,30.74,24.54,17.8,15.9,29.81,38.55,31.08,18.32,12.92,62.93,9.87,8.98,24.72,10.69,14.44,52.32,18.1,13.7,27.77,11.77,19.56,27.24,25.98,23.58,8.09,28.78,27.28,18.08,32.83,33.98,28.31,5.6,128.98,21.96,22.6,6.95,9.56,14.09,33.38,12.0,34.62,33.68,9.8,23.23,31.05,10.4,6.79,10.83,12.34,73.73,5.21,11.11,7.6,35.4,31.62,21.49,21.74,26.06,8.8,27.21,3.69,25.23,18.97,127.03,18.6,7.51,13.47,15.65,8.99,3.52,2.85,13.7,6.91,332.0,6.58,56.48,2.33,3.28,6.2,6.99,120.91,83.7,10.33,81.9,4.53,39.49,3.89,5.01,8.88,7.92,11.82,54.39,4.82,5.49,3.24,7.26,32.26,29.15,13.59
2019-07-05,4.01,93.15,26.68,111.54,22.64,105.09,49.26,65.92,142.74,36.02,36.29,6.05,8.98,3.74,6.3,3.75,5.63,7.54,9.98,5.16,7.17,3.76,4.81,86.5,11.73,9.39,24.5,6.86,8.92,12.07,3.86,9.54,11.25,11.45,8.17,5.48,21.67,5.31,6.02,9.18,29.37,3.11,18.22,36.2,3.92,9.4,10.17,5.67,6.6,6.74,21.58,54.73,6.18,9.44,90.85,8.81,3.65,11.63,8.97,4.18,9.28,3.31,4.27,18.03,12.03,10.07,5.99,18.27,10.69,34.58,13.15,6.13,9.67,11.31,20.61,20.95,47.09,4.42,22.41,8.61,8.11,17.01,12.24,16.12,10.58,8.19,7.33,18.37,23.66,33.47,8.37,15.29,13.86,5.05,71.68,2.54,29.88,23.28,8.92,5.51,5.65,11.82,17.78,5.14,9.31,15.41,23.47,10.43,7.05,26.14,43.3,5.41,68.47,31.98,41.86,17.03,9.31,999.82,12.33,27.9,10.05,17.11,25.02,13.95,113.88,4.18,19.0,8.95,9.56,12.71,15.65,4.98,15.53,16.24,12.02,32.72,4.22,41.8,43.48,11.08,4.46,67.4,23.62,12.48,2.04,2.28,3.22,26.81,10.67,6.36,9.63,3.88,9.18,23.73,6.33,12.2,9.65,26.97,9.41,7.12,31.03,6.19,13.69,13.92,6.2,13.54,42.44,36.47,12.87,23.54,7.77,5.42,3.79,4.15,4.46,6.59,6.83,6.09,7.8,6.32,1.67,81.4,16.78,11.57,36.88,7.11,38.23,19.12,7.95,7.12,23.05,29.27,25.88,23.82,44.79,8.12,7.89,13.65,95.6,15.67,11.18,30.78,24.28,17.1,16.06,30.53,39.95,32.54,18.88,13.3,61.05,10.24,9.53,25.6,11.05,14.91,53.26,18.16,14.19,28.26,11.95,19.79,27.09,27.04,24.58,8.38,29.39,28.15,18.25,33.2,33.93,28.82,5.93,129.38,22.65,23.14,7.26,9.51,14.68,34.27,12.3,35.2,35.55,10.05,23.78,30.99,10.67,7.1,11.03,12.56,76.05,5.34,11.45,8.09,36.44,33.1,21.35,21.99,26.69,8.94,28.39,3.77,25.95,18.63,129.81,18.91,7.75,13.89,16.2,9.33,3.65,3.02,13.85,7.09,343.15,6.32,58.1,2.4,3.41,6.38,7.2,123.0,84.9,10.69,84.1,4.68,40.14,4.03,5.27,8.4,8.05,12.48,55.27,5.0,5.65,3.36,7.39,33.28,29.45,13.92
2019-07-04,4.02,93.45,26.35,112.01,22.82,101.8,47.99,65.9,138.39,36.5,36.39,6.08,8.98,3.75,6.45,3.77,5.64,7.5,10.05,5.12,7.15,3.72,4.83,83.3,12.03,9.42,23.69,6.9,9.01,12.03,3.87,9.56,11.56,11.51,8.23,5.5,21.58,5.36,6.05,9.14,28.75,3.1,18.18,36.05,3.93,9.39,10.36,5.68,6.65,6.73,21.52,54.39,6.21,9.43,89.9,8.52,3.66,11.61,8.95,4.15,9.26,3.32,4.25,18.23,12.07,10.15,6.0,18.29,10.8,38.42,13.26,6.11,9.75,10.97,20.53,21.09,46.5,4.38,22.28,8.6,8.1,17.02,12.26,16.13,10.53,8.2,7.37,18.28,23.96,33.41,8.26,15.4,13.79,5.03,68.4,2.55,30.28,23.03,9.1,5.53,5.62,11.86,17.78,5.18,9.23,15.37,23.15,10.51,7.11,26.16,42.78,5.45,68.18,31.53,41.16,17.17,9.36,981.2,12.4,27.81,9.91,17.22,25.97,13.86,111.89,4.21,19.15,8.96,9.55,12.82,15.7,5.01,15.52,16.17,12.07,33.39,4.24,41.15,42.86,10.62,4.49,66.11,23.61,12.39,2.03,2.28,3.25,26.51,10.7,6.37,9.74,3.86,9.15,23.67,6.4,12.22,9.69,26.85,9.43,7.12,30.96,6.2,13.76,14.07,6.21,13.64,42.89,36.08,12.86,23.6,7.82,5.45,3.81,4.27,4.48,6.61,6.83,6.44,7.81,6.3,1.67,79.75,16.41,11.62,34.93,7.1,38.5,19.31,7.95,7.07,22.93,29.07,26.22,24.04,44.76,8.26,8.05,13.59,95.18,15.74,11.15,30.25,23.86,17.22,16.7,29.95,39.45,32.34,18.77,13.15,58.97,10.23,9.53,25.72,10.9,14.77,53.24,18.18,14.11,28.38,12.07,25.56,27.01,27.12,24.6,8.57,29.31,28.09,18.2,32.8,34.0,27.94,5.97,127.21,22.59,23.02,7.29,9.52,14.74,33.92,12.21,34.87,35.95,10.06,23.78,30.97,10.7,7.1,11.24,12.7,74.7,5.35,11.4,8.05,36.16,31.03,19.8,22.05,26.21,9.2,28.2,3.78,26.18,18.01,123.09,18.67,7.68,13.92,16.34,9.35,3.64,3.02,13.83,7.27,325.6,6.43,56.88,2.41,3.41,6.39,7.22,120.26,81.43,10.72,83.22,4.64,40.2,4.04,5.27,7.99,8.13,12.54,54.4,5.01,5.64,3.34,7.49,33.24,29.55,13.99
2019-07-03,4.03,92.18,26.66,109.5,23.17,105.5,48.09,66.75,142.68,37.23,37.06,6.06,8.86,3.79,6.49,3.77,5.62,7.51,10.28,5.06,7.14,3.83,4.84,88.18,12.02,9.34,23.41,6.88,8.94,12.05,3.87,9.63,11.43,11.5,8.25,5.44,21.64,5.35,5.94,9.29,29.03,3.08,18.24,36.65,3.94,9.78,10.25,5.67,6.61,6.73,21.87,55.49,6.19,9.36,90.66,8.59,3.66,11.46,9.1,4.14,9.3,3.32,4.37,18.15,12.07,10.04,5.99,18.33,10.88,42.69,13.41,6.08,9.68,10.95,20.67,21.27,46.8,4.39,22.6,8.54,8.2,17.12,12.31,16.06,10.61,8.51,7.34,18.26,23.25,33.55,8.29,15.78,13.9,5.09,69.46,2.54,29.87,23.68,8.91,5.46,5.6,12.17,17.94,5.13,9.24,15.58,23.38,10.65,7.05,26.11,42.18,5.49,67.97,31.91,42.47,17.04,9.46,987.9,12.56,27.86,10.28,17.31,26.41,13.95,112.98,4.17,19.03,8.97,9.65,12.65,15.43,4.98,15.47,16.47,12.23,32.82,4.25,42.37,42.8,10.68,4.49,68.37,23.45,12.58,2.03,2.27,3.23,26.67,10.75,6.35,9.7,3.84,9.15,23.16,6.34,12.19,9.65,26.8,9.52,7.3,30.92,6.18,13.69,13.93,6.2,13.36,42.1,36.15,12.92,23.43,7.74,5.38,3.81,4.2,4.5,6.61,6.82,6.46,7.81,6.32,1.67,82.86,17.58,11.56,35.12,7.15,39.6,19.52,8.01,6.9,23.23,30.02,26.12,24.15,44.76,8.21,8.04,13.52,96.66,15.66,11.17,30.96,24.02,17.71,17.34,30.63,40.27,32.71,18.7,13.23,60.89,10.21,9.59,26.89,11.01,14.94,53.4,18.23,13.9,28.29,12.28,25.78,27.23,27.32,24.71,8.81,29.65,28.37,18.31,33.47,34.17,29.85,5.99,131.58,22.85,23.8,7.33,9.53,14.76,34.15,12.34,34.6,35.9,9.82,24.39,31.57,10.54,7.11,11.42,13.22,75.59,5.39,11.51,7.84,36.7,31.48,19.84,21.88,26.57,9.22,28.41,3.79,26.21,18.68,123.91,18.43,7.72,13.9,16.07,9.31,3.7,3.02,13.67,7.1,335.8,6.32,57.33,2.42,3.42,6.43,7.24,122.49,82.77,10.69,84.15,4.63,40.33,4.01,5.3,8.39,7.99,12.41,54.09,5.0,5.77,3.39,7.29,33.2,29.17,14.01
