date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-08-08,25.09,25.54,24.81,24.62,68591.96,-0.19,-0.76,25.526,25.564,24.753,91399.18,90866.38,73665.58
2019-08-07,26.2,26.32,25.0,24.98,95323.16,-0.68,-2.65,25.822,25.529,24.702,94860.56,88215.11,72838.14
2019-08-06,25.22,26.19,25.68,25.05,105287.03,-0.16,-0.62,26.058,25.464,24.657,95627.52,83903.56,71274.22
2019-08-05,26.42,26.99,25.84,25.77,90346.52,-0.46,-1.75,26.182,25.275,24.609,101963.58,77301.45,68137.82
2019-08-02,25.45,26.69,26.3,25.45,97447.22,0.01,0.04,26.022,25.021,24.553,99373.7,71756.98,66389.96
2019-08-01,26.33,26.56,26.29,26.04,85898.89,0.11,0.42,25.602,24.76,24.518,90333.58,66499.82,64949.43
2019-07-31,26.09,26.8,26.18,25.86,99157.95,-0.12,-0.46,25.236,24.463,24.489,81569.66,63665.7,64407.95
2019-07-30,25.75,26.45,26.3,25.66,136967.31,1.26,5.03,24.87,24.232,24.525,72179.6,64584.36,63003.75
2019-07-29,24.48,25.09,25.04,24.3,77397.11,0.84,3.47,24.368,24.053,24.574,52639.33,56678.88,59641.09
2019-07-26,24.42,24.63,24.2,24.08,52246.65,-0.26,-1.06,24.02,23.974,24.677,44140.27,56858.33,60210.93
2019-07-25,24.38,24.54,24.46,24.1,42079.28,0.11,0.45,23.918,23.941,24.758,42666.06,56464.79,59519.57
2019-07-24,23.8,24.51,24.35,23.79,52207.67,0.56,2.35,23.69,23.875,24.839,45761.73,57461.17,59298.43
2019-07-23,23.3,23.87,23.79,23.11,39265.92,0.49,2.1,23.594,23.85,24.922,56989.12,58644.87,57946.36
2019-07-22,23.71,23.79,23.3,23.17,34901.84,-0.39,-1.65,23.738,23.942,25.034,60718.43,58974.18,58800.38
2019-07-19,23.38,23.93,23.69,23.18,44875.58,0.37,1.59,23.928,24.084,25.179,69576.38,61022.94,59616.25
2019-07-18,23.45,23.69,23.32,23.27,57557.64,-0.55,-2.3,23.964,24.275,25.33,70263.52,63399.04,61520.96
2019-07-17,24.48,24.56,23.87,23.68,108344.64,-0.64,-2.61,24.06,24.515,25.468,69160.6,65150.2,62613.59
2019-07-16,24.22,24.66,24.51,24.19,57912.43,0.26,1.07,24.106,24.817,25.56,60300.61,61423.13,62555.65
2019-07-15,23.96,24.4,24.25,23.32,79191.63,0.38,1.59,24.146,25.095,25.608,57229.94,62603.31,63373.31
2019-07-12,23.8,23.99,23.87,23.52,48311.24,0.07,0.29,24.24,25.38,25.625,52469.5,63563.52,61161.82
2019-07-11,24.22,24.45,23.8,23.7,52043.07,-0.3,-1.25,24.586,25.574,25.666,56534.56,62574.35,61512.11
2019-07-10,24.71,24.8,24.1,23.95,64044.69,-0.61,-2.47,24.97,25.802,25.734,61139.8,61135.69,63545.31
2019-07-09,24.84,25.05,24.71,24.51,42559.06,-0.01,-0.04,25.528,25.994,25.724,62545.65,57247.86,62443.72
2019-07-08,25.6,25.68,24.72,24.38,55389.45,-0.88,-3.44,26.044,26.126,25.704,67976.69,58626.58,62964.98
2019-07-05,25.88,26.06,25.6,25.32,68636.55,-0.12,-0.47,26.52,26.274,25.678,74657.55,58209.56,63954.81
2019-07-04,26.81,26.81,25.72,25.69,75069.25,-1.17,-4.35,26.562,26.384,25.55,68614.14,59642.88,63974.98
2019-07-03,27.0,27.0,26.89,26.58,71073.94,-0.4,-1.47,26.634,26.421,25.468,61131.57,60076.97,62019.88
2019-07-02,27.39,27.96,27.29,26.9,69714.25,0.19,0.7,26.46,26.303,25.345,51950.06,63688.18,60087.8
2019-07-01,26.8,27.48,27.1,26.71,88793.74,1.29,5.0,26.208,26.12,25.22,49276.48,64143.31,60158.29
2019-06-28,26.0,26.56,25.81,25.5,38419.5,-0.27,-1.03,26.028,25.869,25.144,41761.57,58760.11,59388.33
2019-06-27,26.02,26.45,26.08,25.7,37656.44,0.06,0.23,26.206,25.758,25.099,50671.61,60449.87,59863.77
2019-06-26,25.96,26.2,26.02,25.55,25166.37,-0.01,-0.04,26.208,25.666,25.049,59022.37,65954.93,59924.21
2019-06-25,26.36,26.58,26.03,25.46,56346.33,-0.17,-0.65,26.146,25.454,25.005,75426.29,67639.59,61206.3
2019-06-24,26.41,26.78,26.2,25.98,51219.21,-0.5,-1.87,26.032,25.281,24.962,79010.14,67303.37,60206.74
2019-06-21,26.2,26.98,26.7,26.17,82969.72,0.61,2.34,25.71,25.081,24.882,75758.65,69700.06,59546.34
2019-06-20,25.65,26.55,26.09,25.62,79410.2,0.38,1.48,25.31,24.716,24.786,70228.13,68307.09,58114.54
2019-06-19,26.1,27.03,25.71,25.55,107186.0,0.25,0.98,25.124,24.514,24.77,72887.49,63962.79,56379.56
2019-06-18,24.77,25.69,25.46,24.5,74265.58,0.87,3.54,24.762,24.386,24.765,59852.9,56487.42,53610.04
2019-06-17,24.55,24.9,24.59,24.0,34961.76,-0.11,-0.45,24.53,24.32,24.745,55596.6,56173.27,53817.78
2019-06-14,24.99,25.34,24.7,24.65,55317.09,-0.46,-1.83,24.452,24.419,24.834,63641.47,60016.55,54035.29
2019-06-13,24.19,25.46,25.16,23.95,92707.01,1.26,5.27,24.122,24.439,24.946,66386.05,59277.68,53352.55
2019-06-12,24.05,24.48,23.9,23.75,42013.04,-0.4,-1.65,23.904,24.432,25.032,55038.08,53893.5,52126.65
2019-06-11,24.18,24.45,24.3,23.73,52984.12,0.28,1.17,24.01,24.556,25.137,53121.95,54773.01,52947.39
2019-06-10,23.25,24.57,24.2,23.04,75186.08,1.15,4.99,24.11,24.643,25.242,56749.93,53110.11,54331.14
2019-06-06,23.95,23.95,23.05,22.6,69040.02,-1.02,-4.24,24.386,24.683,25.41,56391.62,49392.62,54268.75
2019-06-05,24.5,24.78,24.07,23.95,35967.15,-0.36,-1.47,24.756,24.856,25.618,52169.3,47921.99,53473.4
2019-06-04,24.8,24.85,24.43,24.26,32432.39,-0.37,-1.49,24.96,25.026,25.818,52748.91,48796.33,55537.65
2019-06-03,25.23,25.49,24.8,24.35,71123.99,-0.78,-3.05,25.102,25.143,25.971,56424.07,50732.65,57680.71
2019-05-31,25.0,25.7,25.58,24.69,73394.57,0.68,2.73,25.176,25.17,26.095,49470.3,51462.29,60376.83
2019-05-30,25.07,25.38,24.9,24.7,47928.41,-0.19,-0.76,24.98,25.248,26.229,42393.62,48054.04,60695.53
2019-05-29,25.02,25.35,25.09,24.7,38865.19,-0.05,-0.2,24.956,25.453,26.329,43674.68,47427.43,61808.11
2019-05-28,25.22,25.63,25.14,24.8,50808.21,-0.03,-0.12,25.092,25.632,26.456,44843.75,50359.79,65008.23
2019-05-27,24.71,25.34,25.17,24.59,36355.11,0.57,2.32,25.184,25.718,26.629,45041.23,51121.76,65540.41
2019-05-24,24.84,25.1,24.6,24.44,38011.17,-0.18,-0.73,25.164,25.84,26.853,53454.28,55552.17,66096.21
2019-05-23,25.74,25.74,24.78,24.74,54333.7,-0.99,-3.84,25.516,26.137,27.081,53714.47,59144.87,68187.6
2019-05-22,25.76,26.25,25.77,25.46,44710.58,0.17,0.66,25.95,26.379,27.346,51180.18,59024.8,68803.13
2019-05-21,25.07,25.75,25.6,24.75,51795.59,0.53,2.11,26.172,26.61,27.602,55875.83,62278.97,71580.24
2019-05-20,26.3,26.46,25.07,24.55,78420.34,-1.29,-4.89,26.252,26.799,27.914,57202.29,64628.77,78053.45
2019-05-17,26.98,27.16,26.36,26.24,39312.13,-0.59,-2.19,26.516,27.02,28.253,57650.06,69291.38,84698.55
2019-05-16,26.98,27.38,26.95,26.7,41662.27,0.07,0.26,26.758,27.21,28.42,64575.27,73337.02,87804.19
2019-05-15,26.15,26.94,26.88,25.96,68188.84,0.88,3.38,26.808,27.205,28.562,66869.42,76188.8,90293.36
2019-05-14,26.19,26.57,26.0,25.96,58427.85,-0.39,-1.48,27.048,27.279,28.742,68682.11,79656.66,93561.3
2019-05-13,27.2,27.2,26.39,25.94,80659.19,-1.18,-4.28,27.346,27.539,28.917,72055.25,79959.06,96883.15
2019-05-10,27.53,27.78,27.57,26.55,73938.21,0.37,1.36,27.524,27.865,29.051,80932.7,76640.25,98349.12
2019-05-09,27.8,28.14,27.2,27.0,53133.01,-0.88,-3.13,27.662,28.025,29.148,82098.78,77230.33,99996.0
2019-05-08,26.88,28.77,28.08,26.7,77252.3,0.59,2.15,27.602,28.313,29.25,85508.18,78581.45,107084.85
2019-05-07,27.88,28.19,27.49,26.61,75293.56,0.21,0.77,27.51,28.593,29.376,90631.22,80881.5,110300.99
2019-05-06,27.6,29.15,27.28,25.65,125046.42,-0.98,-3.47,27.732,29.029,29.556,87862.87,91478.13,113223.49
2019-04-30,27.47,28.38,28.26,27.38,79768.59,1.36,5.06,28.206,29.486,29.727,72347.8,100105.72,114623.3
2019-04-29,27.14,27.66,26.9,26.68,70180.01,-0.72,-2.61,28.388,29.629,29.912,72361.89,102271.35,118861.06
2019-04-26,28.55,28.7,27.62,27.23,102867.5,-0.98,-3.43,29.024,29.919,30.163,71654.73,104397.93,118828.33
2019-04-25,29.55,29.55,28.6,28.52,61451.82,-1.05,-3.54,29.676,30.205,30.339,71131.79,107465.94,116676.89
2019-04-24,29.14,29.79,29.65,28.98,47471.09,0.48,1.65,30.326,30.294,30.479,95093.39,113807.23,117518.65
2019-04-23,30.08,30.3,29.17,28.97,79839.01,-0.91,-3.02,30.766,30.237,30.611,127863.63,120057.98,117737.98
2019-04-22,31.3,31.49,30.08,30.0,66644.24,-0.8,-2.59,30.87,30.271,30.816,132180.81,122761.67,118658.17
2019-04-19,31.83,31.84,30.88,30.6,100252.77,-0.97,-3.05,30.814,30.187,31.047,137141.13,135588.25,118350.8
2019-04-18,32.0,33.25,31.85,31.52,181259.84,0.0,0.0,30.734,30.159,31.203,143800.09,139720.48,117025.6
2019-04-17,29.79,32.13,31.85,29.45,211322.28,2.16,7.28,30.262,30.082,31.296,132521.07,134968.85,110248.95
2019-04-16,29.67,29.83,29.69,28.86,101424.91,-0.11,-0.37,29.708,29.967,31.417,112252.33,129140.88,104972.73
2019-04-15,30.48,30.94,29.8,29.8,91445.84,-0.68,-2.23,29.672,30.195,31.626,113342.53,135450.78,105513.23
