,0
0,289
1,288
2,297
3,295
4,315
5,301
6,306
7,303
8,313
9,247
10,314
11,297
12,328
13,254
14,312
15,314
16,327
17,306
18,305
19,277
20,313
21,133
22,271
23,301
24,129
25,295
26,302
27,285
28,307
29,317
30,310
31,85
32,293
33,311
34,251
35,319
36,304
37,298
38,291
39,292
40,280
41,284
42,287
43,296
44,329
45,311
46,305
47,238
48,153
49,303
50,299
51,318
52,271
53,305
54,281
55,298
56,197
57,297
58,298
59,272
60,299
61,277
62,299
63,302
64,290
65,293
66,297
67,304
68,302
69,296
70,304
71,326
72,290
73,291
74,290
75,302
76,297
77,284
78,285
79,296
80,304
81,304
82,289
83,300
84,311
85,284
86,264
87,278
88,319
89,313
90,307
91,310
92,297
93,309
94,320
95,313
96,292
97,296
98,301
99,306
100,309
101,292
102,299
103,305
104,301
105,282
106,310
107,305
108,308
109,297
110,109
111,327
112,313
113,254
114,295
115,290
116,305
117,311
118,296
119,327
120,266
121,287
122,285
123,297
124,280
125,304
126,313
127,299
128,310
129,287
130,312
131,216
132,313
133,324
134,101
135,287
136,289
137,262
138,315
139,299
140,68
141,155
142,272
143,276
144,97
145,240
146,306
147,286
148,274
149,268
150,238
151,290
152,307
153,189
154,175
155,303
156,248
157,293
158,306
159,305
160,288
161,269
162,302
163,287
164,304
165,286
166,288
167,302
168,178
169,306
170,221
171,324
172,312
173,283
174,295
175,250
176,301
177,292
178,294
179,300
180,252
181,317
182,287
183,298
184,318
185,307
186,278
187,244
188,289
189,303
190,276
191,306
192,319
193,303
194,313
195,295
196,136
197,297
198,294
199,279
200,299
201,280
202,283
203,296
204,298
205,295
206,313
207,289
208,273
209,310
210,302
211,316
212,310
213,306
214,298
215,285
216,314
217,311
218,306
219,309
220,312
221,265
222,306
223,289
224,295
225,312
226,282
227,293
228,302
229,299
230,297
231,302
232,283
233,298
234,290
235,304
236,289
237,295
238,135
239,298
240,289
241,306
242,265
243,315
244,284
245,288
246,304
247,324
248,305
249,305
250,284
251,287
252,313
253,299
254,289
255,298
256,233
257,300
258,285
259,234
260,292
261,205
262,298
263,324
264,293
265,143
266,296
267,182
268,113
269,94
270,324
271,306
272,283
273,307
274,289
275,298
276,290
277,271
278,312
279,301
280,304
281,309
282,300
283,298
284,278
285,294
286,214
287,281
288,330
