,0
0,33
1,32
2,39
3,32
4,30
5,33
6,31
7,35
8,33
9,34
10,30
11,31
12,27
13,34
14,30
15,33
16,29
17,31
18,37
19,31
20,29
21,35
22,27
23,35
24,37
25,38
26,36
27,32
28,32
29,33
30,35
31,35
32,34
33,34
34,36
35,30
36,30
37,29
38,30
39,33
40,38
41,34
42,34
43,42
44,27
45,28
46,36
47,36
48,33
49,34
50,30
51,27
52,37
53,26
54,36
55,34
56,31
57,38
58,30
59,33
60,28
61,39
62,36
63,38
64,33
65,30
66,36
67,27
68,29
69,34
70,36
71,33
72,39
73,39
74,34
75,35
76,36
77,35
78,31
79,30
80,36
81,32
82,32
83,28
84,33
85,38
86,34
87,39
88,33
89,33
90,28
91,42
92,30
93,29
94,32
95,33
96,34
97,26
98,31
99,33
100,35
101,32
102,34
103,37
104,37
105,30
106,31
107,36
108,33
109,37
110,34
111,31
112,28
113,37
114,31
115,32
116,32
117,32
118,36
119,30
120,38
121,37
122,37
123,35
124,39
125,31
126,32
127,34
128,31
129,35
130,32
131,31
132,34
133,31
134,34
135,34
136,33
137,34
138,33
139,34
140,32
141,33
142,34
143,32
144,34
145,39
146,32
147,38
148,37
149,36
150,37
151,36
152,30
153,33
154,32
155,36
156,33
157,33
158,38
159,30
160,33
161,32
162,35
163,35
164,37
165,40
166,36
167,35
168,32
169,30
170,35
171,27
172,37
173,35
174,33
175,31
176,36
177,32
178,29
179,34
180,36
181,29
182,31
183,32
184,34
185,34
186,34
187,34
188,35
189,33
190,36
191,34
192,32
193,33
194,39
195,38
196,34
197,33
198,34
199,36
200,27
201,34
202,34
203,39
204,34
205,32
206,34
207,34
208,32
209,33
210,31
211,30
212,38
213,41
214,31
215,35
216,32
217,33
218,30
219,25
220,31
221,31
222,36
223,41
224,31
225,37
226,34
227,35
228,34
229,32
230,35
231,37
232,29
233,31
234,35
235,32
236,36
237,34
238,34
239,33
240,34
241,34
242,37
243,32
244,32
245,32
246,34
247,31
248,37
249,33
250,40
251,26
252,33
253,35
254,34
255,31
256,32
257,28
258,34
259,33
260,36
261,32
262,35
263,31
264,34
265,35
266,33
267,36
268,32
269,33
270,32
271,27
272,34
273,34
274,32
275,33
276,36
277,36
278,27
279,37
280,34
281,33
282,30
283,33
284,39
285,30
286,32
287,35
288,30
