date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,40.6,41.46,40.88,40.44,194551.84,-0.07,-0.17,40.56,40.894,40.493,298073.81,347939.21,462131.75
2019-07-15,40.49,41.08,40.95,40.01,220245.2,0.28,0.69,40.382,40.913,40.25,307364.33,379690.45,469043.87
2019-07-12,40.76,40.76,40.67,39.93,272929.16,-0.73,-1.76,40.324,40.794,39.946,352149.59,421525.11,473297.25
2019-07-11,40.8,41.76,41.4,40.35,520237.34,2.5,6.43,40.562,40.844,39.687,355689.97,446092.6,480750.96
2019-07-10,39.78,40.15,38.9,38.5,282405.5,-1.09,-2.73,40.514,40.794,39.337,341618.33,445049.19,468362.29
2019-07-09,39.51,40.26,39.99,39.22,241004.47,-0.67,-1.65,41.228,41.004,39.109,397804.61,492590.43,476016.16
2019-07-08,40.9,41.18,40.66,39.13,444171.5,-1.2,-2.87,41.444,41.455,38.751,452016.57,545257.4,475851.42
2019-07-05,41.39,41.87,41.86,40.75,290631.06,0.7,1.7,41.264,41.434,38.358,490900.63,553736.19,464819.49
2019-07-04,42.24,43.17,41.16,40.57,449879.12,-1.31,-3.08,41.126,41.178,37.914,536495.22,583954.12,465884.09
2019-07-03,44.0,44.1,42.47,42.33,563336.88,1.4,3.41,41.074,40.788,37.529,548480.05,592697.69,463853.05
2019-07-02,39.7,41.3,41.07,39.55,512064.28,1.31,3.29,40.78,40.091,37.039,587376.26,576324.28,454844.68
2019-07-01,39.02,39.88,39.76,38.6,638591.81,-1.41,-3.42,41.466,39.586,36.6,638498.23,558397.28,450233.68
2019-06-28,41.75,42.85,41.17,41.01,518604.03,0.27,0.66,41.604,39.098,36.166,616571.76,525069.38,432977.08
2019-06-27,40.8,41.78,40.9,40.18,509803.25,-0.1,-0.24,41.23,38.53,35.607,631413.01,515409.32,413709.05
2019-06-26,42.5,42.96,41.0,40.35,757817.94,-3.5,-7.87,40.502,37.88,35.086,636915.32,491675.39,396538.44
2019-06-25,41.9,44.5,44.5,41.6,767674.12,4.05,10.01,39.402,37.214,34.533,565272.3,459441.88,366377.79
2019-06-24,39.9,41.11,40.45,39.87,528959.44,1.15,2.93,37.706,36.047,33.799,478296.34,406445.43,333740.4
2019-06-21,37.94,40.67,39.3,37.5,592810.31,2.04,5.47,36.592,35.282,33.251,433567.0,375902.79,313877.86
2019-06-20,36.83,38.05,37.26,36.1,537314.81,1.76,4.96,35.83,34.649,32.754,399405.63,347814.06,291407.32
2019-06-19,35.1,35.62,35.5,34.8,399602.84,-0.52,-1.44,35.258,34.269,32.387,346435.46,335008.41,272199.19
2019-06-18,35.0,36.06,36.02,34.78,332794.28,1.14,3.27,35.026,33.986,32.102,353611.46,333365.08,259845.77
2019-06-17,34.77,35.98,34.88,34.7,305312.78,-0.61,-1.72,34.388,33.613,31.787,334594.53,342070.08,254239.54
2019-06-14,34.89,35.82,35.49,34.2,422003.44,1.09,3.17,33.972,33.234,31.589,318238.58,340884.79,251946.52
2019-06-13,33.85,34.65,34.4,33.51,272463.94,0.06,0.17,33.468,32.684,31.411,296222.48,312008.78,245189.28
2019-06-12,32.87,34.56,34.34,32.64,435482.88,1.51,4.6,33.28,32.291,31.268,323581.37,301401.49,246204.58
2019-06-11,32.7,33.13,32.83,32.4,237709.59,0.03,0.09,32.946,31.852,31.14,313118.69,273313.69,247170.79
2019-06-10,32.85,33.3,32.8,32.44,223533.05,-0.17,-0.52,32.838,31.55,31.041,349545.64,261035.37,249225.85
2019-06-06,32.97,33.68,32.97,32.88,311922.94,-0.49,-1.46,32.496,31.22,30.931,363530.99,251852.92,255970.58
2019-06-05,32.3,33.5,33.46,32.19,409258.38,0.79,2.42,31.9,30.859,30.802,327795.07,235000.59,254203.28
2019-06-04,32.8,33.53,32.67,32.43,383169.5,0.38,1.18,31.302,30.505,30.663,279221.62,209389.97,253936.56
2019-06-03,31.95,32.93,32.29,31.73,419844.34,1.2,3.86,30.758,30.218,30.482,233508.7,186326.47,243796.99
2019-05-31,30.71,31.27,31.09,30.4,293459.81,1.1,3.67,30.262,29.96,30.339,172525.1,166409.0,241178.21
2019-05-30,30.0,30.21,29.99,29.76,133243.34,-0.48,-1.57,29.944,29.944,30.243,140174.85,163008.26,232478.51
2019-05-29,29.72,30.47,30.47,29.56,166391.11,0.52,1.74,29.818,30.137,30.164,142206.11,178369.78,233166.31
2019-05-28,29.6,29.99,29.95,29.5,154604.88,0.14,0.47,29.708,30.245,30.116,139558.32,191007.67,230397.05
2019-05-27,29.53,29.84,29.81,29.38,114926.34,0.31,1.05,29.678,30.428,30.081,139144.24,221027.89,229701.81
2019-05-24,29.74,29.94,29.5,29.5,131708.58,0.14,0.48,29.658,30.531,30.066,160292.9,237416.32,231057.8
2019-05-23,29.7,29.73,29.36,29.08,143399.62,-0.56,-1.87,29.944,30.641,30.076,185841.67,260088.23,233841.85
2019-05-22,29.62,30.09,29.92,29.46,153152.2,0.12,0.4,30.456,30.744,30.131,214533.46,273405.96,240926.26
2019-05-21,29.67,29.98,29.8,29.33,152534.44,0.09,0.3,30.782,30.821,30.13,242457.02,298483.14,239383.13
2019-05-20,30.25,30.49,29.71,29.49,220669.67,-1.22,-3.94,31.178,30.746,30.135,302911.54,301267.51,239905.54
2019-05-17,31.2,31.47,30.93,30.73,259452.42,-0.99,-3.1,31.404,30.717,30.157,314539.75,315947.41,238265.03
2019-05-16,31.3,32.05,31.92,31.25,286858.56,0.37,1.17,31.338,30.541,30.121,334334.79,301948.76,232936.28
2019-05-15,31.28,31.65,31.55,31.0,292770.0,-0.23,-0.72,31.032,30.191,30.021,332278.46,287962.84,227986.31
2019-05-14,31.92,32.19,31.78,31.37,454807.06,0.94,3.05,30.86,29.987,29.953,354509.27,269786.43,223792.8
2019-05-13,30.61,31.16,30.84,30.38,278810.69,0.24,0.78,30.314,29.734,29.902,299623.47,238375.73,211640.2
2019-05-10,29.95,31.32,30.6,29.68,358427.66,0.21,0.69,30.03,29.6,29.932,317355.08,224699.28,210241.21
2019-05-09,30.31,30.8,30.39,30.0,276576.91,-0.3,-0.98,29.744,29.511,29.951,269562.73,207595.46,208320.31
2019-05-08,29.5,30.84,30.69,29.15,403924.03,1.64,5.64,29.35,29.517,30.013,243647.21,208446.56,209082.3
2019-05-07,28.89,29.67,29.05,28.43,180378.06,-0.37,-1.26,29.114,29.439,30.071,185063.59,180283.12,200817.55
2019-05-06,29.96,30.27,29.42,28.8,367468.72,0.25,0.86,29.154,29.523,30.204,177128.0,178543.57,201491.5
2019-04-30,28.46,29.39,29.17,28.45,119465.95,0.75,2.64,29.17,29.597,30.328,132043.48,160582.65,198395.99
2019-04-29,29.67,29.67,28.42,28.37,146999.27,-1.09,-3.69,29.278,29.7,30.441,145628.19,163923.8,209075.27
2019-04-26,29.35,29.67,29.51,29.21,111005.93,0.26,0.89,29.684,29.85,30.574,173245.91,168009.79,219479.13
2019-04-25,29.52,29.76,29.25,29.15,140700.11,-0.25,-0.85,29.764,29.918,30.68,175502.65,177799.16,223220.3
2019-04-24,29.5,29.63,29.5,29.02,142046.16,-0.21,-0.71,29.892,30.069,30.838,179959.14,184904.67,226806.96
2019-04-23,30.18,30.24,29.71,29.63,187389.48,-0.74,-2.43,30.024,30.263,31.005,189121.82,195783.15,237235.97
2019-04-22,29.89,30.66,30.45,29.81,285087.88,0.54,1.8,30.122,30.391,31.141,182219.4,209045.15,241649.86
2019-04-19,29.88,30.0,29.91,29.78,122289.6,0.02,0.07,30.016,30.509,31.218,162773.67,209718.04,236840.7
2019-04-18,30.0,30.09,29.89,29.72,162982.59,-0.27,-0.9,30.072,30.703,31.332,180095.68,221351.98,254405.54
2019-04-17,29.61,30.16,30.16,29.6,187859.55,-0.04,-0.13,30.246,30.884,31.369,189850.19,224439.44,257110.25
2019-04-16,29.93,30.25,30.2,29.77,152877.38,0.28,0.94,30.502,31.058,31.416,202444.48,236209.32,259645.87
