date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-07-16,4.93,5.0,4.99,4.93,346804.81,0.04,0.81,4.884,4.91,4.987,332710.78,344261.74,556695.35
2019-07-15,4.87,5.0,4.95,4.81,518018.31,0.1,2.06,4.856,4.92,4.981,324078.07,343665.18,560550.76
2019-07-12,4.83,4.88,4.85,4.81,295416.31,0.03,0.62,4.83,4.936,4.976,309065.39,367161.06,556655.16
2019-07-11,4.84,4.88,4.82,4.81,241272.84,0.01,0.21,4.86,4.952,4.973,302668.49,375327.31,580315.0
2019-07-10,4.85,4.87,4.81,4.78,262041.62,-0.04,-0.82,4.898,4.976,4.973,332806.49,411467.78,589510.21
2019-07-09,4.84,4.87,4.85,4.8,303641.28,0.03,0.62,4.936,4.996,4.973,355812.71,422967.93,602643.64
2019-07-08,4.99,4.99,4.82,4.8,442954.88,-0.18,-3.6,4.984,5.019,4.974,363252.29,472095.84,630800.36
2019-07-05,5.02,5.02,5.0,4.97,263431.81,-0.01,-0.2,5.042,5.049,4.966,425256.74,504582.77,633096.32
2019-07-04,5.0,5.05,5.01,4.98,391962.84,0.01,0.2,5.044,5.063,4.949,447986.12,583260.37,637949.48
2019-07-03,5.08,5.08,5.0,4.98,377072.72,-0.09,-1.77,5.054,5.074,4.934,490129.08,698930.63,637267.98
2019-07-02,5.1,5.1,5.09,5.06,340839.19,-0.02,-0.39,5.056,5.064,4.919,490123.16,769128.95,635349.64
2019-07-01,5.14,5.17,5.11,5.07,752977.12,0.1,2.0,5.054,5.041,4.901,580939.4,777436.33,636942.6
2019-06-28,5.05,5.07,5.01,4.98,377078.75,-0.05,-0.99,5.056,5.015,4.881,583908.81,746149.26,613592.82
2019-06-27,5.03,5.15,5.06,5.03,602677.62,0.05,1.0,5.082,4.993,4.867,718534.61,785302.7,608478.3
2019-06-26,5.01,5.05,5.01,4.98,377043.12,-0.07,-1.38,5.094,4.97,4.851,907732.19,767552.64,596351.75
2019-06-25,5.12,5.13,5.08,4.98,794920.38,-0.04,-0.78,5.072,4.95,4.839,1048134.74,782319.35,609715.51
2019-06-24,5.2,5.23,5.12,5.07,767824.19,-0.02,-0.39,5.028,4.929,4.822,973933.26,789504.89,596040.02
2019-06-21,5.11,5.19,5.14,5.09,1050207.75,0.02,0.39,4.974,4.883,4.797,908389.71,761609.87,571708.53
2019-06-20,4.87,5.24,5.12,4.87,1548665.5,0.22,4.49,4.904,4.834,4.77,852070.79,692638.6,539455.66
2019-06-19,5.08,5.14,4.9,4.87,1079055.88,0.04,0.82,4.846,4.794,4.745,627373.08,575605.32,481115.67
2019-06-18,4.84,4.87,4.86,4.8,423913.0,0.01,0.21,4.828,4.773,4.735,516503.97,501570.33,446296.1
2019-06-17,4.8,4.86,4.85,4.79,440106.44,0.06,1.25,4.83,4.76,4.724,605076.51,496448.87,447175.23
2019-06-14,4.84,4.87,4.79,4.78,768613.12,-0.04,-0.83,4.792,4.747,4.711,614830.02,481036.38,460068.72
2019-06-13,4.81,4.87,4.83,4.8,425176.97,0.02,0.42,4.764,4.741,4.712,533206.41,431653.91,442923.09
2019-06-12,4.84,4.89,4.81,4.79,524710.31,-0.06,-1.23,4.742,4.732,4.709,523837.56,425150.86,443733.99
2019-06-11,4.66,4.88,4.87,4.64,866775.69,0.21,4.51,4.718,4.728,4.705,486636.7,437111.66,439944.6
2019-06-10,4.65,4.69,4.66,4.53,488874.03,0.01,0.21,4.69,4.714,4.699,387821.22,402575.15,417995.84
2019-06-06,4.72,4.75,4.65,4.63,360495.03,-0.07,-1.48,4.702,4.71,4.707,347242.74,381807.19,435261.05
