0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288
11.57,6.02,6.27,5.32,7.57,23.76,13.65,35.5,13.61,6.03,24.35,27.76,67.5,41.99,30.9,982.3,41.39,17.53,10.94,14.1,33.69,20.35,19.18,9.24,12.84,18.38,9.85,18.3,8.88,3.59,88.18,9.26,5.81,54.8,6.49,5.62,38.44,30.72,5.97,21.1,7.93,11.13,3.81,6.64,88.12,7.21,3.7,6.17,65.1,3.9,17.3,81.18,1.62,6.37,7.53,6.55,4.43,3.7,42.3,14.22,13.81,6.12,29.77,6.98,9.72,11.85,6.09,24.16,8.86,3.93,9.24,10.41,3.04,2.23,11.94,22.96,4.3,10.75,41.72,11.84,15.54,15.15,5.09,15.62,13,8.52,18.67,4.15,108.86,13.59,24.66,16.25,9.57,27.34,11.84,9.02,17.33,41.46,33.25,68.93,5.42,27.61,7.32,10.31,22.7,14.8,9.33,5.15,5.63,5.38,8.32,22.7,30.47,2.51,70.24,5.01,15.7,8.39,,18.33,6.86,8.3,10.42,14.75,12.32,17.07,7.88,8.54,23.17,4.28,45.29,11.76,5.91,29.36,10.14,5.64,12.17,3.36,8.83,11.2,8.84,20.86,6.73,10.41,9.21,3.86,17.44,3.09,8.72,5.12,5.31,11.67,10.2,11.35,8.83,23.82,9.21,11.71,4.7,3.58,7.15,4.99,10.05,5.59,3.66,8.81,5.97,36.07,34,151.2,31.81,102.6,21.57,111.89,26.49,104.5,13.99,30.4,33.28,7.51,3.47,6.14,5,54.85,12.36,7.93,5.09,4.02,33.96,4.8,82.13,10.36,87.93,122,7.35,6.32,3.39,2.37,56.09,6.57,332.88,6.94,13.2,2.83,3.98,9.42,16.37,14.21,7.81,18.58,126,20.27,24.69,3.65,28.18,8.32,28.17,21.07,20.95,32.09,32.4,7.73,10.84,5.23,72.23,10.92,11.38,6.85,10.6,31.7,22.73,9.27,34.3,35.2,12.85,33.88,14.38,10.4,7.42,22.65,23.07,129.35,5.9,28.2,34.41,34.5,27.1,30.49,8.25,23.05,26.01,26.85,20.5,11.76,26.48,13.75,18.02,55.25,14.28,11.07,24.66,9.5,10.02,69.77,13.77,17.36,31.41,38.94,33.3,15.5,25.77,30.91,10.76,15.79,94.5,14.06,6.82,7.93,45.82,23.62,24.24,27.08,25.02,7.54,7.18,20.03,39.8,6.75,40.65
11.54,6.04,6.32,5.27,7.52,24.06,13.55,35.68,13.47,6.03,24.43,27.94,67.73,42.21,30.57,980.1,41.8,17.57,11.14,14.3,33.89,20.47,19.03,9.29,12.9,18.4,9.84,18.55,8.88,3.6,88.77,9.36,5.82,55.5,6.47,5.61,38.6,31.05,5.94,21.51,7.94,11.09,3.81,6.67,88.41,7.2,3.72,6.15,65.1,3.89,17.56,81.6,1.62,6.32,7.55,6.53,4.28,3.67,42.27,14.27,13.78,6.14,29.97,6.98,9.79,11.67,6.08,23.94,8.88,3.89,9.23,10.38,3.03,2.24,11.92,22.88,4.25,10.67,41.75,11.87,15.64,15.03,5.15,15.56,12.84,8.55,18.66,4.08,110.5,13.7,24.73,16.28,9.53,27.13,11.74,9.09,17.4,41.08,32.58,69.49,5.41,27.2,7.07,10.29,22.89,14.74,9.32,5.14,5.61,5.43,8.28,22.65,30.29,2.51,70.15,5.03,15.42,8.41,,18.33,6.86,8.08,10.48,15.38,12.4,17.14,7.89,8.52,23.09,4.23,45.1,12,5.91,27.96,10.19,5.65,11.93,3.34,8.85,11.3,8.84,20.88,6.77,10.54,9.25,3.85,17.84,3.11,8.86,5.14,5.31,11.77,10.07,11.42,8.73,23.66,9.34,11.9,4.75,3.56,7.18,4.96,10.08,5.57,3.65,8.82,5.95,36.3,34.35,147,32.45,103,21.57,112.2,26.33,99.68,14.12,30.08,33.28,7.47,3.38,5.92,5,55.3,12.25,7.94,5.04,4.02,35.42,4.75,81.95,10.42,88.2,123.01,7.29,6.32,3.34,2.37,56.6,6.46,334.95,6.7,13.23,2.83,3.81,9.69,16.27,14.33,7.81,18.74,125.46,20.38,24.93,3.64,28.12,8.65,29.18,21.29,20.35,32.15,33.4,7.6,10.78,5.23,74,10.67,10.9,6.87,10.66,31.82,22.98,9.24,34.68,35.22,13,34.06,14.54,10.18,7.41,22.75,23.26,130,5.82,28.2,34.3,34.79,27.26,30.06,8.36,23.34,26.16,26.78,20.26,11.76,27.39,14.19,18.11,55.88,14.08,10.83,24.4,9.34,10.09,69.88,14.09,17.48,31.48,38.38,31.93,15.88,25.86,30.95,10.78,15.63,97.5,14.1,6.9,7.79,44.94,23.2,23.6,27.48,25.05,7.6,7.22,19.96,39.99,6.69,40.55
11.62,6.06,6.37,5.26,7.51,23.41,13.15,35.6,13.66,6,24.49,27.51,67.39,42.31,30.98,991.5,41.57,17.49,11.18,13.91,34.15,20.15,19.19,9.24,12.85,18.24,9.74,18.19,8.88,3.61,89.47,9.37,5.82,55.35,6.44,5.64,38.08,31.05,5.88,20.93,7.92,11.01,3.82,6.69,88.86,7.2,3.72,5.98,64.76,3.88,17.65,82.2,1.62,6.31,7.55,6.5,4.27,3.66,41.21,13.68,13.78,6.12,30.21,6.96,9.53,11.42,6.1,23.36,8.88,3.81,9.24,10.32,3.01,2.22,11.89,22.45,4.24,10.62,41.35,11.8,15.64,14.87,4.95,15.2,12.87,8.54,18.71,4.03,111.68,13.68,24.42,16.3,9.52,26.8,11.69,9.04,17.56,40.76,32.59,65.63,5.4,25.47,6.87,10.08,23,14.65,9.33,5.13,5.54,5.32,8.34,22.78,29.78,2.5,71.1,4.87,15.52,8.38,,18.33,6.89,8.06,10.2,15.24,12.62,16.87,7.9,8.51,22.45,4.2,45.6,11.86,5.89,28.18,9.88,5.65,11.63,3.36,8.87,11.49,8.79,20.58,6.57,10.25,9.22,3.81,17.65,3.09,8.9,5.07,5.29,11.55,10,11.27,8.58,23.64,9.05,11.35,4.73,3.56,6.99,4.82,10.11,5.53,3.6,8.78,5.94,35.31,34.53,141.04,33.25,103.45,21.44,111.59,26.42,93.81,14.23,29.86,32.36,7.45,3.37,5.61,4.88,55.15,12.01,7.93,5.03,3.93,39.56,4.53,82.16,10.5,88.45,124.8,6.75,6.38,3.34,2.34,56.87,6.54,339.09,6.83,13.56,2.83,3.82,9.49,15.93,14.04,7.58,18.65,126.53,19.67,25.09,3.65,27.45,8.78,28.8,21.15,19.93,32.25,36.1,7.54,10.69,5.2,74.07,10.68,10.92,6.68,10.54,31.8,22.99,9.2,33.68,34.99,13.1,33.32,14.56,9.42,7.1,22.78,22.69,131.88,6.2,28.21,34.1,33.45,27.21,28.75,8.29,23.9,26.55,27.1,19.67,11.76,27.5,13.87,18.14,54.78,14.2,10.6,23.99,9.24,9.8,65.88,13.74,18.15,31.74,38.5,30.71,15.09,25.82,30.75,10.46,15.25,92.36,13.2,7.48,7.49,44.22,23.27,24.95,27.6,24.87,7.28,7.41,19.51,38.95,6.74,39
11.46,6.03,6.43,5.25,7.52,23.64,12.89,36.06,13.65,6.03,26.08,27.56,67.95,42.36,32.39,998.38,41.68,17.67,11.37,13.97,34.2,21.46,19.27,9.27,12.99,17.98,9.75,18.28,8.86,3.6,89.3,9.15,5.79,53.79,6.46,5.58,36.65,29.67,5.85,21.39,7.95,10.96,3.81,6.71,89.6,7.07,3.72,6.11,64.8,3.92,17.64,81.95,1.63,6.28,7.52,6.44,4.3,3.68,41.3,13.54,13.61,6.08,30.28,6.97,9.6,11.62,6.14,23.6,9.03,3.82,9.22,10.31,3.07,2.23,12.03,22.62,4.3,10.55,40.94,11.83,15.33,14.92,4.97,15.55,12.73,8.6,18.92,4.05,111.95,13.29,24.69,16.43,9.8,27.13,11.84,9.06,16.85,41.76,32.47,66.59,5.44,25.65,6.62,10.1,22.92,14.77,9.31,5.07,5.55,5.36,8.48,22.75,29.64,2.51,71,4.9,15.54,8.25,,18.27,7.24,8.03,10.28,15.36,12.76,16.95,7.92,8.36,21.98,4.25,46.63,12.08,5.89,28.25,10.1,5.63,11.75,3.22,8.9,11.61,8.84,20.69,6.64,10.33,9.13,3.84,17.59,3.04,9.24,5.1,5.32,11.57,10.34,11.43,8.6,23.59,9.1,11.55,4.76,3.64,7.01,4.83,10.05,5.53,3.61,8.76,5.9,35.2,35.25,147,33.5,103.49,21.55,111.48,26.31,95.56,13.78,29.75,32.7,7.38,3.32,5.53,4.88,55.27,12.08,7.91,5.03,3.91,39.58,4.49,82.51,10.39,87.6,124.48,6.9,6.32,3.31,2.35,57.57,6.64,337.05,6.97,13.79,2.85,3.72,9.44,15.89,14.02,7.61,18.51,127.92,19.73,,3.68,27.55,8.9,28.28,21.3,20.94,31.8,36.63,7.55,10.97,5.22,74.47,10.48,10.97,6.77,10.52,32.13,22.36,9.63,34,35.42,12.79,33.58,14.66,9.61,7.02,23,22.47,131.13,6.35,28.78,33.97,33.77,27.5,28.88,8.25,23.95,26.59,27.52,20.17,11.89,27.75,14.15,18.12,54.15,14.1,10.59,24.45,9.54,9.91,65.95,13.49,18.31,32.13,39.15,30.85,15.46,25.88,30.9,10.46,15.35,92.38,13.18,7.51,7.62,44.5,23.3,25.2,28.09,24.82,7.43,7.43,19.57,37.85,6.86,38.6
11.43,6,6.45,5.28,7.57,23.4,12.74,35.65,13.66,5.99,26.43,27.96,68.33,42.15,32.35,990.58,42.16,17.59,11.38,13.87,33.73,21.59,19.1,9.31,12.87,17.95,9.73,18.23,8.89,3.6,88.21,9.08,5.78,52.97,6.47,5.59,35.57,28.78,5.85,21.33,7.96,10.97,3.79,6.72,88.77,7.11,3.71,6.15,65.82,3.92,17.48,81.9,1.63,6.31,7.7,6.48,4.24,3.69,42.66,13.47,13.87,6.09,30.35,6.97,9.55,11.7,6.14,23.79,9.05,3.81,9.22,10.32,3.09,2.23,12.14,22.75,4.29,10.8,41.41,11.88,15.43,14.76,4.95,15.75,12.59,8.61,18.88,4.03,112.6,13.55,24.65,16.45,9.5,27.07,11.88,9.12,16.74,40.15,32.48,66.39,5.35,25.67,6.64,10.1,23.07,14.89,9.31,5.04,5.57,5.34,8.66,22.84,30.04,2.51,71,4.83,15.54,8.25,,18.02,7.25,8.07,10.21,15.53,12.33,16.83,7.96,8.49,21.9,4.25,47.25,12.02,5.92,28.14,10.19,5.92,11.74,3.19,9.19,11.62,9.11,20.81,6.58,10.2,9.1,3.8,17.61,3.04,9.36,5.13,5.31,11.49,9.48,11.57,8.77,24.1,9.14,11.52,4.73,3.65,6.98,4.84,10.02,5.53,3.62,8.75,5.94,35.41,35.54,145.88,48.5,103.44,21.68,111.6,26.38,94.58,13.7,29.42,32.5,7.27,3.31,5.58,4.87,54.3,12.01,7.92,5.05,3.91,39.43,4.55,83.35,10.44,85.88,124.58,7.08,6.28,3.31,2.34,56.66,6.89,337.99,6.97,13.58,2.86,3.73,9.46,16.04,14.02,7.64,18.54,127.44,19.68,25.14,3.69,27.29,9.08,27.06,22.09,21.3,32.19,35.96,7.74,11.1,5.25,73.68,10.17,10.84,6.86,10.5,32.1,22.98,9.86,34.05,35.35,12.76,33.77,14.54,9.52,7.06,22.8,22.2,131.84,6.28,29.24,33.92,33.46,27.3,28.77,8.15,23.88,26.55,27.58,20.26,11.89,27.69,14.26,18.35,54.6,14.5,10.73,24.8,9.8,9.98,66.74,13.31,18.38,31.92,38.8,30.75,15.83,25.27,31.19,10.51,15.31,92.8,13.1,7.51,7.67,44.75,23.15,25.09,27.75,23.65,7.45,7.61,19.46,37.15,6.92,38.9
11.43,6.02,6.47,5.33,7.54,23.44,12.74,35.7,13.82,6,26.82,26.6,67.4,42.15,32.74,989,42.28,17.68,11.41,13.76,33.5,21.55,19.3,9.33,12.87,17.89,9.76,17.86,8.88,3.6,88.85,9.09,5.84,52.99,6.47,5.59,35.21,28.55,5.89,21.3,7.97,11,3.81,6.75,85.79,7.46,3.72,6.2,65.2,3.91,17.23,81.11,1.63,6.31,7.7,6.6,4.11,3.72,41.6,13.84,13.93,6.09,30.76,6.97,9.48,11.85,6.15,23.1,9.05,3.81,9.38,10.39,3.09,2.23,12.12,22.86,4.28,10.8,41.38,11.86,15.47,14.83,4.92,15.36,12.72,8.6,18.68,4.07,113.7,13.6,24.68,16.53,9.56,27.1,11.93,9.12,16.7,40.26,31.69,66.66,5.34,25.65,6.94,10.09,23.16,15.16,9.33,5.05,5.57,5.36,8.78,23.63,29.33,2.51,71.6,4.8,15.27,8.22,,18.16,7.25,8.1,10.39,15.68,11.99,16.78,8,8.5,22.04,4.27,46.8,11.57,6.03,29.75,10.77,5.93,11.67,3.22,9.23,11.73,8.73,20.79,6.54,10.09,9.16,3.8,17.74,3.04,9.48,5.15,5.32,11.34,9.38,11.67,8.78,24.18,9.13,11.55,4.76,3.66,6.93,4.87,9.94,5.55,3.65,8.83,5.94,35.48,35.66,142.75,48.3,102.96,21.76,112.5,26.48,90.38,13.71,29.69,32.69,7.32,3.27,5.57,4.87,54.48,12.03,7.98,5.05,3.92,39.6,4.56,82.97,10.42,86.4,123.3,7.19,6.26,3.31,2.34,56.88,6.87,335.87,7.03,13.85,2.86,3.58,9.09,15.8,13.74,7.64,18.69,128.8,19.33,25.35,3.7,27.4,8.94,26.33,22.01,21.36,31.95,35.76,7.75,11.18,5.24,74.05,12.34,10.88,6.84,10.57,31.35,23.37,9.98,34.24,35.25,12.16,33.66,14.24,9.6,7.12,23.04,22.1,132.31,6.16,29.05,33.94,33.11,27.37,28.15,8.12,23.97,26.6,27.6,19.76,11.9,28.1,14.11,18.69,55.05,14.54,10.79,25.05,9.4,10,65.5,13.35,18.38,31.22,38.75,30.29,16.1,24.7,31.33,10.71,15.3,93.26,13.15,7.53,7.89,44.44,23.29,24.9,28.27,23.6,7.45,7.61,19.22,37.6,6.87,38.73
11.57,6.09,6.57,5.4,7.7,23.65,12.86,36.2,13.88,6.19,27.05,26.84,67.78,43.26,33,997.9,42.97,17.84,11.75,13.93,33.38,21.75,19.71,9.57,13.15,18.17,10.02,18.01,9.03,3.64,89.99,9.37,6.18,54.36,6.59,5.66,36.1,29.13,6.01,21.84,8.14,11.19,3.85,6.86,86.9,7.52,3.75,6.28,65.96,4,17.07,81,1.67,6.32,7.81,6.85,4.14,3.78,42.44,14.19,13.67,6.19,31.09,7.11,9.69,12.16,6.3,23.68,9.22,3.89,9.64,10.67,3.21,2.28,12.44,23.5,4.43,11.02,41.73,12,16.07,15.46,4.98,15.69,12.75,8.94,19.02,4.19,114.85,13.85,25.18,17.01,9.82,27.8,12.32,9.29,17.01,41.18,31.97,68.2,5.44,26.29,7.05,10.44,23.35,15.4,9.3,5.16,5.67,5.48,8.9,23.39,29.7,2.54,71.56,5.03,15.58,8.36,,18.33,7.33,8.19,10.61,16.12,12.26,17.11,8.08,8.61,22.39,4.4,47.69,11.39,6.15,31.12,10.93,5.98,12.02,3.31,9.26,11.81,8.69,21.47,6.74,10.21,9.35,3.9,18.23,3.11,9.18,5.3,5.45,11.46,9.62,12.11,8.91,24.65,9.42,11.72,4.82,3.72,7.18,5.11,9.98,5.62,3.74,8.96,6.04,36.3,36.2,143.7,49.78,104.91,22.61,112.5,26.7,92.25,13.88,29.51,33.22,7.35,3.35,5.67,4.99,55.05,12.45,8.09,5.23,4.01,40.24,4.67,84.1,10.76,85,123.52,7.14,6.38,3.4,2.4,57.74,6.78,338.9,7.07,13.81,2.93,3.67,9.33,16.17,13.9,7.72,19.07,129.8,19.43,26.04,3.76,28.39,9,26.57,22.11,21.63,33.2,36.8,8.07,11.45,5.33,75.6,12.5,11.19,7.06,10.64,31.23,23.92,10,35.85,35.34,12.28,34.57,14.55,9.69,7.25,23.1,22.68,130.5,5.92,29.46,34.34,33.28,27.9,29.92,8.43,24.46,27.12,27.5,19.95,12.01,28.28,14.2,18.21,53.29,14.93,11.03,25.68,9.47,10.24,63.62,13.29,18.82,32.74,39.85,30.92,16.52,24.69,30.91,11.12,15.8,95.49,13.62,7.88,8.2,44.79,23.88,25.71,29.26,23.3,7.28,7.87,19.12,38.38,7.1,37.88
11.64,6.13,6.62,5.44,7.8,23.75,12.94,36.63,13.71,6.22,27.13,26.94,67.9,43.7,33.29,1006,43.43,17.95,11.94,14.08,33.59,21.22,20.67,9.74,13.29,18.33,10.18,18.23,9,3.66,91.14,9.51,6.22,54.97,6.65,5.68,36.45,29.5,6.05,21.73,8.23,11.32,3.87,6.9,87.33,7.55,3.77,6.52,66.3,4.03,16.95,82.1,1.68,6.34,7.83,6.87,4.24,3.82,43.13,14.15,13.8,6.21,31.1,7.14,9.71,12.35,6.39,23.75,9.22,3.88,9.77,10.78,3.26,2.29,12.63,23.8,4.53,11.15,41.87,12.13,16.32,15.59,5.01,15.82,12.79,8.99,19.27,4.21,114.4,14.43,25.83,17.25,10.05,27.97,12.42,9.39,17.2,41.87,32.28,68.65,5.45,26.35,7.12,10.53,23.6,15.51,9.34,5.18,5.68,5.52,9.08,23.66,30.66,2.55,71.99,5.06,15.45,8.39,23.97,18.4,7.39,8.22,10.6,16.16,12.29,17.11,8.16,8.65,22.65,4.56,47.15,11.35,6.14,34.58,10.85,6.01,12.08,3.33,9.36,11.75,8.95,21.64,6.76,10.29,9.4,3.95,18.26,3.11,9.24,5.39,5.52,11.54,9.64,12.1,9.02,24.62,9.46,11.84,4.84,3.77,7.21,5.29,10.09,5.63,3.75,9.01,6.08,36.56,36.87,144.04,49.7,105.95,22.97,112.68,26.75,94.3,13.98,29.68,33.55,7.47,3.37,5.71,5.02,55.5,12.54,8.13,5.29,4.05,40.34,4.75,84.79,10.75,85.16,124.46,7.32,6.43,3.42,2.42,58.18,6.46,346.18,7.26,13.87,3.03,3.68,9.38,16.37,13.96,7.76,18.96,130.18,18.88,26.25,3.79,28.4,9.3,26.71,22.21,21.75,33.1,36.78,8.17,11.48,5.38,76.36,12.87,11.24,7.13,10.77,31.36,24.01,10.14,36.09,35.4,12.34,34.68,14.92,9.66,7.34,23.55,22.8,131.05,5.97,29.2,34.3,33.45,28.42,30.28,8.73,24.93,27.38,27.47,20,12.09,28.4,14.3,18.24,53.77,14.94,11.17,26.06,9.62,10.29,61.61,13.4,18.97,32.64,40.15,31.02,16.7,24.41,30.93,11.27,15.76,96.3,13.68,8.03,8.2,45.1,24.09,26.4,29.35,23.23,7.2,7.99,19.4,38.7,7.14,37.1
11.67,6.49,6.66,5.45,7.85,23.92,13.04,36.44,13.96,6.25,27.48,26.88,68.5,43.43,33.57,990.8,43.15,18.18,12.26,13.99,33.78,21.55,20.77,9.81,13.46,18.46,10.28,18.41,9.1,3.67,91.14,9.45,6.24,55.9,6.7,5.68,36.96,29.28,6.13,22.01,8.33,11.73,3.89,6.91,86.33,7.55,3.78,6.86,66.95,4.06,17.5,82.58,1.68,6.42,7.84,6.93,4.29,3.83,43.55,14.22,13.88,6.26,31.23,7.17,9.8,12.49,6.4,24.1,9.32,3.88,9.85,10.92,3.3,2.29,12.75,23.84,4.58,10.77,42.54,12.3,16.54,15.75,5.07,16.1,13.07,9.05,19.25,4.27,113.9,14.03,27.49,17.43,10.37,28.06,12.67,9.49,17.45,43.17,32.2,68.63,5.54,26.49,7.23,10.66,23.58,15.68,9.28,5.18,5.68,5.62,9.17,23.96,31.78,2.56,69.45,5.13,15.96,8.33,24.45,18.4,7.37,8.27,10.72,16.18,12.36,17.36,8.21,8.68,22.88,4.45,47.12,11.19,6.15,38.42,11.08,6.03,12.25,3.35,9.43,11.93,8.7,22.12,6.81,10.43,9.5,3.97,18.34,3.13,9.49,5.44,5.54,11.62,9.78,12.14,9.06,24.35,9.49,12.24,4.86,3.85,7.26,5.37,10.35,5.65,3.78,9.07,6.1,37.2,37.75,142,48.28,106.23,23.39,113.41,26.74,95.68,14.28,30.28,33.72,7.54,3.39,5.79,5.05,55.1,12.55,8.18,5.33,4.07,40.65,4.68,84.3,10.87,83.88,121.5,7.47,6.5,3.45,2.44,58.16,6.58,338.88,7.51,13.86,3.03,3.72,9.43,16.78,14.09,7.83,18.79,124.86,18.83,26.36,3.81,28.67,9.5,26.8,22.48,20.04,31.88,37.33,8.06,11.58,5.4,76.7,13.28,11.59,7.17,10.77,31.87,24.71,10.19,36.7,35.86,12.43,34.81,14.96,9.74,7.45,23.77,22.94,132.32,6.04,30.05,34.53,33.69,28.75,30.1,8.75,25.03,27.46,27.5,26,12.29,28.86,14.31,18.29,54.11,15.02,11.06,26.81,9.88,10.34,61.4,13.39,18.96,32.98,40.53,30.95,17.64,24.16,31.1,11.25,15.87,98.61,13.72,8.17,8.33,45.3,24.15,26.61,30.1,23.75,7.1,8.09,19.72,39.84,7.2,35.54
11.63,6.48,6.66,5.42,7.86,24.1,13.17,36.49,13.55,6.29,26.97,26.98,70,43.75,33.16,1023,42.95,18.35,12.32,14.26,34.4,21.57,20.86,9.86,13.57,18.44,10.09,18.44,9.25,3.66,91.6,9.58,6.2,57.06,6.62,5.69,37.32,29.35,5.94,22.24,8.31,11.5,3.88,6.9,91.69,7.51,3.78,6.61,67.73,4.1,18.57,84.6,1.69,6.35,7.82,6.99,4.2,3.82,42.68,14.08,13.84,6.23,31.75,7.35,9.78,12.55,6.44,23.39,9.18,3.87,9.77,10.89,3.27,2.29,12.86,23.67,4.53,10.85,43.11,12.4,16.65,15.81,5.04,15.58,12.77,9.07,19.28,4.17,115.87,14.12,27.15,17.68,10.72,28.47,12.76,9.47,17.24,44.1,32.22,69.48,5.52,26.8,7.09,10.7,23.68,15.71,9.26,5.17,5.69,5.55,9.06,23.88,30.32,2.56,71.5,5.23,16.3,8.33,23.33,18.34,7.35,8.51,10.86,16.24,12.44,17.26,8.28,8.58,22.84,4.45,47.7,11.13,6.11,43.65,11.08,5.99,12.27,3.37,9.54,11.65,8.66,22.21,6.79,10.38,9.82,3.99,18.45,3.09,9.62,5.39,5.53,11.68,9.7,12.17,8.96,23.61,9.42,12.32,4.87,3.99,7.24,5.2,10.43,5.63,3.82,8.9,6.06,37.46,37.7,145.62,48.5,107.95,23.95,113.56,26.87,92.88,14.21,29.49,34.08,7.44,3.45,5.81,5.08,55.32,12.64,8.11,5.35,4.04,40.86,4.73,84.87,10.95,86.33,124.2,7.35,6.53,3.47,2.47,58.5,6.43,347.88,7.17,14.18,3.03,3.73,9.44,16.38,14.08,7.78,18.71,130.29,19.04,26.6,3.83,29.06,9.45,27,22.06,20.12,32.3,37.57,7.84,11.63,5.43,77.29,13.55,11.51,7.2,10.58,32.28,24.86,9.86,36.25,35.5,12.42,34.85,15.08,9.65,7.57,23.9,23.11,138.5,6.07,30.3,34.72,34.09,29.06,30.23,8.87,25.15,27.78,27.74,26.89,12.42,28.87,14.4,18.38,54.2,15.08,11.12,27,9.65,10.28,63.74,13.24,18.98,33.8,41.38,31.33,17.34,24.42,31.69,11.45,15.88,99,13.8,8.2,8.29,45.54,24.28,26.93,30.19,23.58,6.98,8.12,19.88,41.3,7.31,36.78
